district,year,season_group,crop,table_id,source_granularity,sub_region,yield_tons_ha,yield_tons_ha_planted,area_planted_ha,area_harvested_ha,production_mt,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct
Iganga,2020,first_season_2020,beans,Table 6-9,sub_region_assigned_to_district,Busoga,0.6401206168693183,0.5514043121446688,24839.352489050936,21396.78946810155,13696.526073344095,16.598182013275505,17.402636543136794,28.844351885079988
Iganga,2020,second_season_2020,beans,Table 6-9,sub_region_assigned_to_district,Busoga,0.8018694899438292,0.3563715716380762,21745.571083245977,9664.2950508651,7749.503343103872,21.724865975379096,26.018604429766867,24.941817017002784
Iganga,2020,total_2020,beans,Table 6-9,sub_region_assigned_to_district,Busoga,0.6904468967705395,0.4603641644525843,46584.92357229692,31061.08451896665,21446.02941644797,18.111192997367823,18.10626383648885,25.602214356769792
Jinja,2020,first_season_2020,beans,Table 6-9,sub_region_assigned_to_district,Busoga,0.6401206168693183,0.5514043121446688,24839.352489050936,21396.78946810155,13696.526073344095,16.598182013275505,17.402636543136794,28.844351885079988
Jinja,2020,second_season_2020,beans,Table 6-9,sub_region_assigned_to_district,Busoga,0.8018694899438292,0.3563715716380762,21745.571083245977,9664.2950508651,7749.503343103872,21.724865975379096,26.018604429766867,24.941817017002784
Jinja,2020,total_2020,beans,Table 6-9,sub_region_assigned_to_district,Busoga,0.6904468967705395,0.4603641644525843,46584.92357229692,31061.08451896665,21446.02941644797,18.111192997367823,18.10626383648885,25.602214356769792
Kapchorwa,2020,first_season_2020,beans,Table 6-9,sub_region_assigned_to_district,Elgon,0.6700120852270204,0.6160966003272779,44366.5063498831,40796.35924969914,27334.05373056156,9.266847698887243,9.395639306424288,12.191217189230333
Kapchorwa,2020,second_season_2020,beans,Table 6-9,sub_region_assigned_to_district,Elgon,0.653829971282899,0.3772534963333407,45488.85585195647,26246.624761911968,17160.829914353926,14.760992000074149,17.417686572969675,14.629274052376768
Kapchorwa,2020,total_2020,beans,Table 6-9,sub_region_assigned_to_district,Elgon,0.6636769574159984,0.4951833986820718,89855.36220183957,67042.98401161112,44494.88364491549,10.473427963713036,10.47483275394163,11.575813186819635
Mbale,2020,first_season_2020,beans,Table 6-9,sub_region_assigned_to_district,Elgon,0.6700120852270204,0.6160966003272779,44366.5063498831,40796.35924969914,27334.05373056156,9.266847698887243,9.395639306424288,12.191217189230333
Mbale,2020,second_season_2020,beans,Table 6-9,sub_region_assigned_to_district,Elgon,0.653829971282899,0.3772534963333407,45488.85585195647,26246.624761911968,17160.829914353926,14.760992000074149,17.417686572969675,14.629274052376768
Mbale,2020,total_2020,beans,Table 6-9,sub_region_assigned_to_district,Elgon,0.6636769574159984,0.4951833986820718,89855.36220183957,67042.98401161112,44494.88364491549,10.473427963713036,10.47483275394163,11.575813186819635
Tororo,2020,first_season_2020,beans,Table 6-9,sub_region_assigned_to_district,Bukedi,0.5175817230094645,0.4911051133277866,7898.659006215235,7494.607429006806,3879.071826384876,22.41427170874125,23.51968372065901,26.687005541874143
Tororo,2020,second_season_2020,beans,Table 6-9,sub_region_assigned_to_district,Bukedi,0.7056484947012804,0.3693464611142985,6009.0445929110965,3145.2194282781857,2219.419355069724,21.266998609749425,25.94437994479266,24.86723903561505
Tororo,2020,total_2020,beans,Table 6-9,sub_region_assigned_to_district,Bukedi,0.5731757916040728,0.4384973506221185,13907.703599126333,10639.826857284992,6098.491181454599,19.037027503668604,21.969609606789945,24.077833480924337
