district,year,season_group,crop,table_id,source_granularity,sub_region,yield_tons_ha,yield_tons_ha_planted,area_planted_ha,area_harvested_ha,production_mt,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct
Iganga,2020,first_season_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Busoga,0.3322482939632105,0.316110546442139,43792.34683684985,41665.29351724266,13843.222688580288,66.57547648732447,70.06930189679127,59.12900162023883
Iganga,2020,second_season_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Busoga,0.4062549460293829,0.303162964196066,44093.97937781148,32904.6122934112,13367.661491377536,69.62985120538107,78.85538760956432,67.95797643404539
Iganga,2020,total_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Busoga,0.3649043656974847,0.3096145367766944,87886.32621466133,74569.90581065386,27210.884179957822,67.90196862762826,73.76183864184752,63.23955766891672
Jinja,2020,first_season_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Busoga,0.3322482939632105,0.316110546442139,43792.34683684985,41665.29351724266,13843.222688580288,66.57547648732447,70.06930189679127,59.12900162023883
Jinja,2020,second_season_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Busoga,0.4062549460293829,0.303162964196066,44093.97937781148,32904.6122934112,13367.661491377536,69.62985120538107,78.85538760956432,67.95797643404539
Jinja,2020,total_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Busoga,0.3649043656974847,0.3096145367766944,87886.32621466133,74569.90581065386,27210.884179957822,67.90196862762826,73.76183864184752,63.23955766891672
Kapchorwa,2020,first_season_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Elgon,0.4950587775158489,0.4828088171078973,2173.4602864942685,2119.6791928806774,1049.3657899532895,39.882484914431096,40.75432751158324,35.960193033692114
Kapchorwa,2020,second_season_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Elgon,0.7530910039174339,0.4137283750066892,2442.4599580160752,1341.823211527416,1010.514989448897,44.50920796221065,49.00766464501643,51.02746770953722
Kapchorwa,2020,total_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Elgon,0.5950828682883496,0.4462557128997143,4615.920244510344,3461.5024044080938,2059.880779402187,31.938944630404603,32.89727019881295,33.680707807706824
Mbale,2020,first_season_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Elgon,0.4950587775158489,0.4828088171078973,2173.4602864942685,2119.6791928806774,1049.3657899532895,39.882484914431096,40.75432751158324,35.960193033692114
Mbale,2020,second_season_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Elgon,0.7530910039174339,0.4137283750066892,2442.4599580160752,1341.823211527416,1010.514989448897,44.50920796221065,49.00766464501643,51.02746770953722
Mbale,2020,total_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Elgon,0.5950828682883496,0.4462557128997143,4615.920244510344,3461.5024044080938,2059.880779402187,31.938944630404603,32.89727019881295,33.680707807706824
Tororo,2020,first_season_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Bukedi,0.47706326620362677,0.4503028000055236,19476.054131639823,18383.56111198294,8770.121708536559,15.421584841346656,15.606830571289972,15.58605499578506
Tororo,2020,second_season_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Bukedi,0.5641103408681047,0.286922478293287,4614.401009321355,2347.0148967595123,1323.975373433528,39.86418013686493,35.33050470358466,30.58922233786437
Tororo,2020,total_2020,groundnuts,Table 6-19,sub_region_assigned_to_district,Bukedi,0.48691831224145565,0.4190081516893809,24090.455140961178,20730.576008742453,10094.097081970089,14.90683859345308,14.3980096403439,14.952826455671833
