district,year,season_group,crop,table_id,source_granularity,sub_region,yield_tons_ha,yield_tons_ha_planted,area_planted_ha,area_harvested_ha,production_mt,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct
Iganga,2020,first_season_2020,maize,Table 6-1,sub_region_assigned_to_district,Busoga,1.5222384603844508,1.4363899819841983,124578.5300679457,117552.77324600064,178943.35255991446,11.36669466268392,12.294182115478415,11.292854602544352
Iganga,2020,second_season_2020,maize,Table 6-1,sub_region_assigned_to_district,Busoga,1.723713168491681,1.2163794610072722,104778.51309650268,73939.46604062416,127450.43128546736,11.190791135109194,12.872859677786522,13.081074447411623
Iganga,2020,total_2020,maize,Table 6-1,sub_region_assigned_to_district,Busoga,1.60003238244435,1.335881295023926,229357.0431644484,191492.2392866248,306393.7838453818,10.621829411430818,11.651995171789787,10.762188417763424
Jinja,2020,first_season_2020,maize,Table 6-1,sub_region_assigned_to_district,Busoga,1.5222384603844508,1.4363899819841983,124578.5300679457,117552.77324600064,178943.35255991446,11.36669466268392,12.294182115478415,11.292854602544352
Jinja,2020,second_season_2020,maize,Table 6-1,sub_region_assigned_to_district,Busoga,1.723713168491681,1.2163794610072722,104778.51309650268,73939.46604062416,127450.43128546736,11.190791135109194,12.872859677786522,13.081074447411623
Jinja,2020,total_2020,maize,Table 6-1,sub_region_assigned_to_district,Busoga,1.60003238244435,1.335881295023926,229357.0431644484,191492.2392866248,306393.7838453818,10.621829411430818,11.651995171789787,10.762188417763424
Kapchorwa,2020,first_season_2020,maize,Table 6-1,sub_region_assigned_to_district,Elgon,2.591624259545572,2.083800742577065,77029.08377880692,61935.39105335199,160513.2619783088,17.732660565732,17.573481259724826,21.831516561483628
Kapchorwa,2020,second_season_2020,maize,Table 6-1,sub_region_assigned_to_district,Elgon,3.423349924580549,1.175152687761825,13874.652805084006,4762.830529997424,16304.835535656615,28.232076906195186,22.691492693937057,31.38085242054418
Kapchorwa,2020,total_2020,maize,Table 6-1,sub_region_assigned_to_district,Elgon,2.6510166735556018,1.9451136351341072,90903.73658389092,66698.22158334941,176818.0975139654,16.2786131481389,16.80140034136693,20.825727510031903
Mbale,2020,first_season_2020,maize,Table 6-1,sub_region_assigned_to_district,Elgon,2.591624259545572,2.083800742577065,77029.08377880692,61935.39105335199,160513.2619783088,17.732660565732,17.573481259724826,21.831516561483628
Mbale,2020,second_season_2020,maize,Table 6-1,sub_region_assigned_to_district,Elgon,3.423349924580549,1.175152687761825,13874.652805084006,4762.830529997424,16304.835535656615,28.232076906195186,22.691492693937057,31.38085242054418
Mbale,2020,total_2020,maize,Table 6-1,sub_region_assigned_to_district,Elgon,2.6510166735556018,1.9451136351341072,90903.73658389092,66698.22158334941,176818.0975139654,16.2786131481389,16.80140034136693,20.825727510031903
Tororo,2020,first_season_2020,maize,Table 6-1,sub_region_assigned_to_district,Bukedi,1.5470171390615697,1.499062875139715,46005.41547499803,44579.344761353,68965.01039394768,9.875934481201492,9.809122856761505,11.446508316265888
Tororo,2020,second_season_2020,maize,Table 6-1,sub_region_assigned_to_district,Bukedi,2.594196684748674,1.344680703077601,38307.0939749609,19856.169874066632,51510.81005911016,10.48923636761742,12.632343295255431,12.560235646556675
Tororo,2020,total_2020,maize,Table 6-1,sub_region_assigned_to_district,Bukedi,1.8697114647833253,1.4289198748681833,84312.50944995893,64435.51463541963,120475.82045305784,9.070555188461109,9.033549190034975,10.570414759153104
