crop,table_id,entity_type,zardi,season_group,area_planted_ha,area_harvested_ha,production_mt,yield_mt_per_ha_production_over_harvested,yield_mt_per_ha_production_over_planted,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct
maize,Table 6-2,zardi,Abi,first_season_2020,39239.51841652797,33132.157505230294,41948.480390330275,1.2660956469166917,1.069036575450459,13.395643531209506,14.64938004915027,15.930838937998889
maize,Table 6-2,zardi,Abi,second_season_2020,13264.093799427586,6748.346308868424,17794.3186481057,2.6368413584111816,1.3415404713794783,17.81649627869704,22.056781947081973,19.444188801140015
maize,Table 6-2,zardi,Abi,total_2020,52503.61221595556,39880.50390625,59742.80078125,1.4980452835222882,1.1378798193068798,17.81649627869704,22.056781947081973,19.444188801140015
maize,Table 6-2,zardi,Buginyanya,first_season_2020,247613.02932175066,224080.08361510406,408421.62493217125,1.822659195512018,1.6494351127277087,8.154874801897368,8.306974418280904,10.09120249819662
maize,Table 6-2,zardi,Buginyanya,second_season_2020,156960.25987654767,98558.46644468821,195266.07688023415,1.9812207304363751,1.2440478694021961,8.28179716051759,10.047068069139817,9.525886296011423
maize,Table 6-2,zardi,Buginyanya,total_2020,404573.28919829836,322625.96875,603687.6875,1.8711689261684705,1.4921590317943785,8.28179716051759,10.047068069139817,9.525886296011423
maize,Table 6-2,zardi,Bulindi,first_season_2020,175979.41707165947,170786.65285116274,399310.8935473396,2.338068501730819,2.269077260238558,15.251338188788091,15.331678571489354,15.499039803341756
maize,Table 6-2,zardi,Bulindi,second_season_2020,157769.22991330654,93771.61150004606,286465.37767513125,3.0549264654046238,1.8157240029157944,14.894061671122882,18.231437997273936,17.07727225114018
maize,Table 6-2,zardi,Bulindi,total_2020,333748.646984966,264223.875,685776.3125,2.595436587628578,2.054768816878204,14.894061671122882,18.231437997273936,17.07727225114018
maize,Table 6-2,zardi,Kachwekano,first_season_2020,5228.662578195082,4491.558663839478,7368.617378566738,1.640547954519621,1.4092738378827196,25.818016485199202,27.98378595558703,32.09402224593719
maize,Table 6-2,zardi,Kachwekano,second_season_2020,9892.739728998813,3581.7356680118046,16405.878281369343,4.58042686619477,1.658375609870582,23.034586873294348,18.717003393404777,25.934220948867154
maize,Table 6-2,zardi,Kachwekano,total_2020,15121.402307193894,7970.87353515625,23774.49609375,2.982671345730234,1.572241489960191,23.034586873294348,18.717003393404777,25.934220948867154
maize,Table 6-2,zardi,Mukono,first_season_2020,313936.2407117171,283448.3106694701,566976.0279490286,2.000280144940363,1.8060228620424685,13.467807028333375,13.812591211276883,12.88189906127557
maize,Table 6-2,zardi,Mukono,second_season_2020,298870.9606967701,222184.48219958018,572777.1728985169,2.577935089022158,1.9164698087869694,11.683630352164382,13.22952123579168,13.690469685321723
maize,Table 6-2,zardi,Mukono,total_2020,612807.2014084873,505632.78125,1139753.125,2.2541124058103184,1.8598885952716786,11.683630352164382,13.22952123579168,13.690469685321723
maize,Table 6-2,zardi,Ngetta,first_season_2020,117127.43308116731,108997.10431836366,170951.95175351895,1.5684081960030312,1.4595381052622587,11.232028127318216,11.375811388380122,12.085555164044107
maize,Table 6-2,zardi,Ngetta,second_season_2020,147728.70692477623,72644.03836154951,208148.9109844824,2.865326813860828,1.4089943337179027,10.967129844615167,12.84887796255253,13.920137566796129
maize,Table 6-2,zardi,Ngetta,total_2020,264856.14000594354,181641.140625,379100.875,2.0870870646130637,1.4313463716245836,10.967129844615167,12.84887796255253,13.920137566796129
maize,Table 6-2,zardi,Nabuin,first_season_2020,28988.393844896633,18613.291502927077,22662.576952294614,1.217548059607338,0.7817810491175016,18.944210044857705,24.146308958298473,27.302096025044857
maize,Table 6-2,zardi,Nabuin,second_season_2020,5237.164565568191,698.6315802523923,5060.932846228637,7.244065383360269,0.9663497839082253,93.49124060339659,63.29115911092179,95.80405164331675
