"area","agricultural-household-member","sex","age-band","indicator","Unit","Date","Value"
"Uganda","All","All","All","Agricultural household members (15+) with ownership or tenure rights over agricultural land","%","2018","33.8"
"Uganda","All","All","All","Agricultural household members (15+) with ownership or tenure rights over agricultural land","%","2019","35.3750541321782"
"Uganda","All","All","All","Agricultural household members (15+) working as salaried workers","%","2018","8.3"
"Uganda","All","All","All","Agricultural household members (15+) working as salaried workers","%","2019","7.71313875158399"
"Uganda","All","All","All","Agricultural household members (15+) engaged in agriculture with access to financial services","%","2018","7"
"Uganda","All","All","All","Agricultural household members (15+) engaged in agriculture with access to financial services","%","2019","5.50134251333392"
"Uganda","All","All","All","Agricultural household members (15+) engaged in crop production activities","%","2018","58.4"
"Uganda","All","All","All","Agricultural household members (15+) engaged in crop production activities","%","2019","59.533031376562"
"Uganda","All","All","All","Agricultural household members (15+) engaged in crop production activities","%","2020","58.3402808989968"
"Uganda","All","All","All","Agricultural household members (15+) belonging to a farmer group","%","2018","9.4"
"Uganda","All","All","All","Agricultural household members (15+) belonging to a farmer group","%","2019","5.16243562640815"
"Uganda","All","All","All","Agricultural household members (15+) belonging to a farmer group","%","2020","7.4237218962741"
"Uganda","All","All","All","Agricultural household members - as % of all hh members in the area","%","2018","100"
"Uganda","All","All","All","Agricultural household members - as % of all hh members in the area","%","2019","100"
"Uganda","All","All","All","Agricultural household members - as % of all hh members in the area","%","2020","100"
"Uganda","All","All","All","Literate agricultural household members (10+)","%","2018","66.6"
"Uganda","All","All","All","Literate agricultural household members (10+)","%","2019","69.900947897121"
"Uganda","All","All","All","Literate agricultural household members (10+)","%","2020","70.4635259958327"
