crop,sub_region,area_planted_ha,production_mt,yield_over_planted,area_harvested_ha,cv_production_pct,yield_over_harvested,year,harvest_loss_ratio,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
banana_food,Acholi,567.0,3909.0,6.9,408.0,40.4,9.6,2018,0.28042328042328046,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,Ankole,160593.0,2464560.0,15.3,153961.0,9.1,16.0,2018,0.04129694320424926,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,Bukedi,1135.0,5742.0,5.1,956.0,47.9,6.0,2018,0.1577092511013216,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,Bunyoro,62666.0,649988.0,10.4,57506.0,32.2,11.3,2018,0.08234130150320751,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,Busoga,19822.0,136165.0,6.9,16258.0,19.6,8.4,2018,0.17980022197558265,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,Elgon,46229.0,365473.0,7.9,36603.0,16.4,10.0,2018,0.2082242748058578,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,Karamoja,3687.0,1079.0,0.3,128.0,100.0,8.4,2018,0.9652834282614592,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,Kigezi,21157.0,260163.0,12.3,20324.0,20.6,12.8,2018,0.0393723117644279,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,Lango,3151.0,29870.0,9.5,2708.0,93.1,11.0,2018,0.14059028879720725,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,North Buganda,112416.0,978815.0,8.7,97552.0,12.5,10.0,2018,0.13222317107884995,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,South Buganda,76617.0,656018.0,8.6,72595.0,10.5,9.0,2018,0.052494877116044725,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,Teso,698.0,3183.0,4.6,533.0,70.3,6.0,2018,0.23638968481375355,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,Tooro,67567.0,919256.0,13.6,65053.0,18.1,14.1,2018,0.03720751254310539,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
banana_food,West Nile,2454.0,19836.0,8.1,2118.0,39.7,9.4,2018,0.13691931540342295,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Acholi,16698.0,10168.0,0.6,7421.0,53.1,0.7,2018,0.5555755180261109,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Ankole,138129.0,91280.0,0.7,55260.0,12.5,0.7,2018,0.5999391872814543,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Bukedi,43242.0,14945.0,0.3,17654.0,20.9,0.4,2018,0.5917395125109847,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Bunyoro,162673.0,134364.0,0.8,62327.0,14.3,0.7,2018,0.6168571305625395,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Busoga,53800.0,20372.0,0.4,10817.0,19.3,0.4,2018,0.7989405204460966,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Elgon,111375.0,56701.0,0.5,41651.0,14.9,0.5,2018,0.6260291806958473,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Karamoja,27159.0,15218.0,0.6,1955.0,68.2,0.4,2018,0.9280164954527045,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Kigezi,77823.0,47399.0,0.6,44827.0,16.8,0.6,2018,0.42398776711255026,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
