spatial_unit,date,tmax_c,tmin_c
Acholi,2015-01-01,33.4225,18.24875
Acholi,2015-01-02,34.19,16.5625
Acholi,2015-01-03,34.305,14.56875
Acholi,2015-01-04,33.55625,15.89375
Acholi,2015-01-05,32.6825,16.54
Acholi,2015-01-06,32.292500000000004,15.515
Acholi,2015-01-07,31.9575,14.985
Acholi,2015-01-08,32.1025,14.9925
Acholi,2015-01-09,31.92,14.915000000000001
Acholi,2015-01-10,31.314999999999998,15.91625
Acholi,2015-01-11,29.4925,15.53125
Acholi,2015-01-12,31.86,16.6175
Acholi,2015-01-13,33.0125,17.705
Acholi,2015-01-14,34.56,17.81625
Acholi,2015-01-15,34.125,16.66625
Acholi,2015-01-16,33.53125,17.32625
Acholi,2015-01-17,33.55875,15.855
Acholi,2015-01-18,32.85375,16.21375
Acholi,2015-01-19,33.17625,15.1325
Acholi,2015-01-20,33.385,16.40125
Acholi,2015-01-21,32.90625,19.14375
Acholi,2015-01-22,34.95,19.697499999999998
Acholi,2015-01-23,35.92375,19.79875
Acholi,2015-01-24,35.10375,20.335
Acholi,2015-01-25,34.3675,19.70375
Acholi,2015-01-26,35.63375,19.0775
Acholi,2015-01-27,36.32125,18.13875
Acholi,2015-01-28,36.415,16.7425
Acholi,2015-01-29,36.83125,16.90625
Acholi,2015-01-30,36.75375,17.49625
Acholi,2015-01-31,37.11,18.2775
Acholi,2015-02-01,37.37625,19.04875
Acholi,2015-02-02,37.9375,19.43125
Acholi,2015-02-03,37.48125,19.98875
Acholi,2015-02-04,37.691250000000004,20.70875
Acholi,2015-02-05,38.01625,20.8375
Acholi,2015-02-06,38.0575,20.33625
Acholi,2015-02-07,38.067499999999995,21.8025
Acholi,2015-02-08,37.525,21.4875
Acholi,2015-02-09,37.301249999999996,20.4325
Acholi,2015-02-10,37.144999999999996,20.305
Acholi,2015-02-11,36.48375,21.3
Acholi,2015-02-12,36.323750000000004,20.93625
Acholi,2015-02-13,36.47375,21.115000000000002
Acholi,2015-02-14,36.86375,21.58625
Acholi,2015-02-15,35.18,21.8175
Acholi,2015-02-16,35.83875,22.09125
Acholi,2015-02-17,34.09,23.55375
Acholi,2015-02-18,34.77875,20.83625
Acholi,2015-02-19,33.90875,21.3275
Acholi,2015-02-20,37.10125,21.54375
Acholi,2015-02-21,35.97,21.87
Acholi,2015-02-22,35.8225,21.9975
Acholi,2015-02-23,36.89875,21.3075
Acholi,2015-02-24,37.04625,21.00125
Acholi,2015-02-25,34.61125,21.62875
Acholi,2015-02-26,35.07125,21.52875
Acholi,2015-02-27,32.9025,22.36
Acholi,2015-02-28,36.35375,20.75375
Acholi,2015-03-01,37.558749999999996,21.7275
Acholi,2015-03-02,36.7775,21.105
Acholi,2015-03-03,38.245,19.57
Acholi,2015-03-04,38.00625,19.86125
Acholi,2015-03-05,38.135,20.8075
Acholi,2015-03-06,37.9375,20.1375
Acholi,2015-03-07,38.435,19.4725
Acholi,2015-03-08,38.955,20.11
Acholi,2015-03-09,39.02875,21.3475
Acholi,2015-03-10,39.24875,20.5625
Acholi,2015-03-11,39.45125,19.74125
Acholi,2015-03-12,39.1,22.19875
Acholi,2015-03-13,34.75375,23.015
Acholi,2015-03-14,36.5375,22.37875
Acholi,2015-03-15,38.6075,21.47625
Acholi,2015-03-16,39.0475,22.24875
Acholi,2015-03-17,40.16875,22.0525
Acholi,2015-03-18,38.65125,22.42625
Acholi,2015-03-19,39.11,22.5175
Acholi,2015-03-20,39.29375,22.65875
Acholi,2015-03-21,38.47,23.174999999999997
Acholi,2015-03-22,37.58625,23.326249999999998
Acholi,2015-03-23,36.45375,23.375
Acholi,2015-03-24,31.31,22.61125
Acholi,2015-03-25,34.47125,21.291249999999998
Acholi,2015-03-26,29.73,22.20125
Acholi,2015-03-27,35.805,20.53
Acholi,2015-03-28,34.2175,21.37125
Acholi,2015-03-29,26.73625,19.85625
Acholi,2015-03-30,28.0725,18.47
Acholi,2015-03-31,26.7125,19.44
Acholi,2015-04-01,28.67875,19.197499999999998
Acholi,2015-04-02,32.410000000000004,18.62375
Acholi,2015-04-03,31.46,21.08875
Acholi,2015-04-04,24.740000000000002,19.552500000000002
Acholi,2015-04-05,30.9425,18.02125
Acholi,2015-04-06,28.515,20.3925
Acholi,2015-04-07,27.6075,20.12375
Acholi,2015-04-08,30.7975,19.615000000000002
Acholi,2015-04-09,30.58625,20.3325
Acholi,2015-04-10,32.2925,19.52
Acholi,2015-04-11,32.19625,19.482499999999998
Acholi,2015-04-12,31.541249999999998,20.2825
Acholi,2015-04-13,32.9875,18.7675
Acholi,2015-04-14,32.32625,20.0575
Acholi,2015-04-15,26.28125,20.03625
Acholi,2015-04-16,27.69,19.0925
Acholi,2015-04-17,28.37,18.80875
Acholi,2015-04-18,28.634999999999998,19.44
Acholi,2015-04-19,27.49375,18.9225
Acholi,2015-04-20,29.634999999999998,18.73
Acholi,2015-04-21,29.47,19.021250000000002
Acholi,2015-04-22,28.29625,19.298750000000002
Acholi,2015-04-23,29.3425,18.7275
Acholi,2015-04-24,30.4575,18.67
