household_id,district,sub_region,lat,lon,hh_size,head_female,land_holding_ha,grows_maize,grows_beans,grows_banana,grows_cassava,maize_area_ha,maize_yield_mt_ha,maize_production_kg,annual_rain_mm_2018,season1_rain_mm_2018,season2_rain_mm_2018,mean_temp_c_2018,rain_3yr_avg_mm
LUW-001,luwero,N Buganda,0.85,32.47,5,0,1.66,0,1,0,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-002,luwero,N Buganda,0.85,32.47,4,1,0.69,1,0,0,0,0.63,1.58,998.2,1040.8,403.0,327.3,23.26,1196.8
LUW-003,luwero,N Buganda,0.85,32.47,5,1,1.78,1,0,1,0,0.46,1.84,847.8,1040.8,403.0,327.3,23.26,1196.8
LUW-004,luwero,N Buganda,0.85,32.47,4,0,1.34,1,0,0,0,0.39,1.61,628.6,1040.8,403.0,327.3,23.26,1196.8
LUW-005,luwero,N Buganda,0.85,32.47,6,1,1.03,1,1,0,0,0.66,1.7,1122.5,1040.8,403.0,327.3,23.26,1196.8
LUW-006,luwero,N Buganda,0.85,32.47,5,0,1.24,0,1,1,1,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-007,luwero,N Buganda,0.85,32.47,5,0,0.49,0,1,0,1,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-008,luwero,N Buganda,0.85,32.47,7,0,1.87,1,0,0,0,0.71,2.58,1829.0,1040.8,403.0,327.3,23.26,1196.8
LUW-009,luwero,N Buganda,0.85,32.47,4,0,1.76,1,0,1,1,0.64,2.19,1398.7,1040.8,403.0,327.3,23.26,1196.8
LUW-010,luwero,N Buganda,0.85,32.47,6,0,1.2,1,1,0,1,0.42,1.87,785.8,1040.8,403.0,327.3,23.26,1196.8
LUW-011,luwero,N Buganda,0.85,32.47,2,0,0.85,1,1,0,0,0.48,1.85,886.1,1040.8,403.0,327.3,23.26,1196.8
LUW-012,luwero,N Buganda,0.85,32.47,4,1,0.5,1,0,0,0,0.41,2.88,1180.6,1040.8,403.0,327.3,23.26,1196.8
LUW-013,luwero,N Buganda,0.85,32.47,4,0,0.66,1,1,0,0,0.21,2.36,495.7,1040.8,403.0,327.3,23.26,1196.8
LUW-014,luwero,N Buganda,0.85,32.47,5,1,0.5,0,0,1,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-015,luwero,N Buganda,0.85,32.47,7,0,0.63,1,1,1,1,0.6,2.98,1786.8,1040.8,403.0,327.3,23.26,1196.8
LUW-016,luwero,N Buganda,0.85,32.47,2,1,0.66,1,1,0,1,0.24,1.49,357.8,1040.8,403.0,327.3,23.26,1196.8
LUW-017,luwero,N Buganda,0.85,32.47,5,1,3.3,1,0,0,0,0.57,1.61,919.0,1040.8,403.0,327.3,23.26,1196.8
LUW-018,luwero,N Buganda,0.85,32.47,4,0,1.02,0,0,1,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-019,luwero,N Buganda,0.85,32.47,1,0,1.07,0,0,1,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-020,luwero,N Buganda,0.85,32.47,2,1,0.74,1,0,0,1,0.74,2.33,1724.9,1040.8,403.0,327.3,23.26,1196.8
LUW-021,luwero,N Buganda,0.85,32.47,4,1,0.77,1,1,1,0,0.55,3.05,1676.1,1040.8,403.0,327.3,23.26,1196.8
LUW-022,luwero,N Buganda,0.85,32.47,5,0,1.29,1,0,0,1,0.62,3.02,1873.3,1040.8,403.0,327.3,23.26,1196.8
LUW-023,luwero,N Buganda,0.85,32.47,5,0,0.52,1,0,1,1,0.52,1.44,746.6,1040.8,403.0,327.3,23.26,1196.8
LUW-024,luwero,N Buganda,0.85,32.47,3,0,0.89,1,1,1,1,0.52,2.49,1292.9,1040.8,403.0,327.3,23.26,1196.8
LUW-025,luwero,N Buganda,0.85,32.47,1,0,0.69,1,1,0,0,0.26,2.12,550.8,1040.8,403.0,327.3,23.26,1196.8
LUW-026,luwero,N Buganda,0.85,32.47,4,1,1.91,1,0,1,0,0.45,2.25,1010.5,1040.8,403.0,327.3,23.26,1196.8
LUW-027,luwero,N Buganda,0.85,32.47,5,1,1.16,1,0,0,0,0.43,1.22,525.4,1040.8,403.0,327.3,23.26,1196.8
LUW-028,luwero,N Buganda,0.85,32.47,3,1,2.14,0,0,1,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-029,luwero,N Buganda,0.85,32.47,2,0,3.71,1,1,1,0,0.21,1.22,256.2,1040.8,403.0,327.3,23.26,1196.8
LUW-030,luwero,N Buganda,0.85,32.47,8,1,0.6,0,1,1,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-031,luwero,N Buganda,0.85,32.47,5,0,0.64,1,0,1,1,0.47,1.28,599.3,1040.8,403.0,327.3,23.26,1196.8
LUW-032,luwero,N Buganda,0.85,32.47,4,1,1.25,1,1,0,0,0.6,2.13,1279.1,1040.8,403.0,327.3,23.26,1196.8
LUW-033,luwero,N Buganda,0.85,32.47,4,0,1.31,1,1,1,0,0.61,1.64,1001.7,1040.8,403.0,327.3,23.26,1196.8
LUW-034,luwero,N Buganda,0.85,32.47,2,0,1.27,0,1,0,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-035,luwero,N Buganda,0.85,32.47,2,0,1.27,1,0,1,0,0.54,2.98,1610.8,1040.8,403.0,327.3,23.26,1196.8
LUW-036,luwero,N Buganda,0.85,32.47,1,0,1.21,1,1,1,0,1.19,1.18,1403.8,1040.8,403.0,327.3,23.26,1196.8
LUW-037,luwero,N Buganda,0.85,32.47,6,1,1.06,0,1,0,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
