district,year,season,season_total_mm,longest_dry_spell_days,dry_spell_count_7d,dry_spell_count_10d,rain_days_1mm,rain_days_10mm,rain_days_20mm,mean_wet_day_rainfall,maximum_5day_rainfall,season_onset_day,season_cessation_day,season_length_days,false_onset_flag,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
Abim,2015,first,572.1426094770432,23,2,1,56,20,4,10.216832312090057,89.68550300598145,87.0,144,58.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2015,second,579.2087345123291,10,3,1,42,27,7,13.790684155055455,77.75510168075562,228.0,275,48.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2016,first,542.2511830329895,23,3,1,47,20,9,11.53725921346786,93.75394058227539,90.0,143,54.0,1,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2016,second,371.77830243110657,15,4,4,33,17,3,11.266009164578987,56.46003341674805,261.0,314,54.0,1,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2017,first,376.1478669643402,9,1,0,40,16,2,9.403696674108506,57.63999319076538,105.0,181,77.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2017,second,516.8543925285339,16,5,3,37,23,3,13.969037635906323,77.50971984863281,234.0,312,79.0,1,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2018,first,878.5987610816956,9,1,0,64,40,10,13.728105641901493,90.10955810546875,60.0,79,20.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2018,second,440.1023042201996,15,8,2,37,22,3,11.894656870816204,104.62859153747559,232.0,320,89.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2019,first,485.4597098827362,20,4,2,40,24,7,12.103975850343705,70.99395084381104,110.0,145,36.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2019,second,497.39113000035286,11,4,1,34,19,10,14.604611053186304,68.80857992172241,231.0,317,87.0,1,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2020,first,638.5830966234207,13,1,1,65,23,3,9.811780065756578,68.22657775878906,67.0,90,24.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2020,second,728.8560502529144,9,2,0,54,31,12,13.497334263942859,76.32019233703613,217.0,314,98.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2021,first,458.77650785446167,21,3,3,42,19,4,10.923250187010993,82.61731433868408,90.0,168,79.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2021,second,410.4533700942993,21,5,2,37,19,4,11.093334326872954,68.31070804595947,233.0,313,81.0,1,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2022,first,356.6792420875281,15,5,4,36,17,1,9.903033190303379,72.79876708984375,109.0,159,51.0,1,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2022,second,564.7457696646452,15,5,2,40,25,10,14.099581521749496,101.96147537231445,228.0,294,67.0,1,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2023,first,559.9853802919388,14,3,3,50,21,5,11.199707605838775,87.82789993286133,77.0,144,68.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Abim,2023,second,433.07059693336487,21,5,2,33,14,6,13.123351422223179,64.47266387939453,240.0,322,83.0,1,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Adjumani,2015,first,617.5633051395416,8,2,0,66,26,5,9.35701977484154,66.4025650024414,91.0,181,91.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
Adjumani,2015,second,613.2072746753693,10,2,1,62,26,2,9.89043991411886,80.46060752868652,213.0,324,112.0,0,,CHIRPS_v2.0_daily_climateserv,,,,district,False,False,F,Daily CHIRPS v2.0 0.05deg nearest pixel at district centroid via ClimateSERV API; onset rule 20mm/3d + no 7d dry spell in 15 follow-up days.
