district,clim_annual_mean,clim_annual_std,clim_MAM_mean,clim_MAM_std,clim_SON_mean,clim_SON_std,clim_DJF_mean,clim_DJF_std,clim_JJA_mean,clim_JJA_std
Agago,1218.6060571670532,113.60980891086085,355.49639892578125,59.15508305003673,303.30570220947266,65.49549466018121,60.036057472229004,24.994597617652797,499.7678985595703,67.03338794403409
Amuru,1425.7735567092896,117.5305734039291,406.83184814453125,61.39955511453957,457.7815170288086,66.68954720712095,76.85605335235596,31.398610888590817,484.30413818359375,67.89817261141154
Gulu,1437.920838356018,113.25617390040782,417.9989929199219,64.29430683456573,431.14239501953125,60.458404379023605,62.57363986968994,24.321078863713115,526.205810546875,66.68185283920684
Kitgum,1137.3816862106323,112.02314446107648,331.0772285461426,61.678649100356324,287.2655944824219,60.60743064119656,54.9249792098999,19.57118039677998,464.11388397216797,68.4736254995423
Lamwo,1155.4793243408203,95.66690321133689,339.865966796875,54.0484408393317,314.24703216552734,52.715992601689805,55.43004608154297,18.535806448794503,445.936279296875,55.75276151183882
Nwoya,1362.2758750915527,107.15567061774549,384.96468353271484,53.90806681712638,461.25508880615234,64.83022080624947,85.62249374389648,34.90282260116856,430.43360900878906,56.17021917585241
Omoro,1492.2435722351074,119.97930601330475,434.5471496582031,68.91589405867474,456.03868103027344,64.69053795278492,80.24163436889648,30.97245682246711,521.4161071777344,67.0930297071719
Pader,1344.581943511963,112.55184321466787,395.03367614746094,61.34984006084863,372.5477828979492,65.09111322645109,65.11938095092773,26.166744887681645,511.881103515625,63.1075508671647
Buhweju,1232.8756198883057,117.94508426922731,370.7223587036133,61.72737852518193,455.8041229248047,62.51885330232661,233.8157615661621,58.354468103583336,172.5333766937256,52.79131252198678
Bushenyi,1272.9377555847168,119.99312595417044,347.9741668701172,58.14249157586428,490.28900146484375,66.4378031764601,255.40158081054688,59.035935255198616,179.27300643920898,55.84422626587202
Ibanda,1022.769208908081,89.04126300728004,315.87095642089844,46.166112330262685,370.7296905517578,48.05571523810505,168.84645080566406,38.68407005122468,167.32211112976074,44.623172763344414
Isingiro,828.9769163131714,75.2337696413452,285.2614517211914,39.17712117276279,280.92562103271484,44.74701221133694,194.0633201599121,40.49187141271003,68.72652339935303,21.986052822566304
Kiruhura,942.4559116363525,83.35280383844221,296.6404724121094,37.80248982340286,351.122802734375,53.90222094746598,192.45597076416016,39.830137592614676,102.23666572570801,32.043289268820274
Mbarara,837.6147718429565,83.46434044730474,252.86578369140625,39.18970397715771,319.7439193725586,51.81926666814167,174.05357360839844,41.26458658442982,90.95149517059326,32.28716036566943
Mitooma,1148.9394340515137,103.89760961429266,325.4700241088867,48.74808858819947,418.4988555908203,56.59230941903657,241.89754486083984,49.026790988421375,163.0730094909668,53.02849632564256
Ntungamo,1020.449104309082,102.6981822084432,278.7740173339844,43.80183487897717,371.84688568115234,49.42661042425431,229.38673400878906,49.11484999171632,140.44146728515625,61.42521943317434
Rubirizi,1188.0438499450684,107.70341964207402,344.42604064941406,53.54755433336268,455.4773712158203,57.239206901553736,211.46092224121094,50.68975273951169,176.67951583862305,53.7299561511133
Sheema,1054.1664447784424,102.37970478987856,319.0005874633789,52.256643198567986,380.04681396484375,56.259597266823334,227.1818733215332,51.788982289360405,127.93717002868652,43.63033604371389
