district,lat,lon,phh2o,soc,clay,sand,silt,bdod,cec,source_status,source_note
Mbale,1.075,34.175,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Kapchorwa,1.4,34.45,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Iganga,0.617,33.483,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Jinja,0.425,33.204,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Tororo,0.693,34.181,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Soroti,1.715,33.611,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Lira,2.25,32.917,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Gulu,2.774,32.299,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Mbarara,-0.607,30.658,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Arua,3.02,30.911,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Masaka,-0.333,31.733,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Fort_Portal,0.671,30.275,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Hoima,1.433,31.35,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Kabale,-1.25,29.983,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
Kasese,0.183,30.083,,,,,,,,local_template,"Fill from a local district soil table, raster sample, or WoSIS summary."
