district,lat,lon,clay,sand,silt,soc,bdod,cec,phh2o,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
Agago,2.7930061395530275,33.31204317423587,34.016666666666666,38.75,27.23333333333333,21.333333333333336,1.2983333333333333,22.0,6.2,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Amuru,2.9832032742483587,31.838702189644742,35.41666666666667,40.45,24.116666666666667,27.35,1.275,20.6,6.1,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Gulu,2.9779834598684705,32.38685513102706,37.516666666666666,37.45,25.033333333333335,23.7,1.3016666666666665,19.65,6.3,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kitgum,3.307646037563655,33.16950142704869,35.43333333333333,38.266666666666666,26.28333333333333,22.25,1.3033333333333335,21.9,6.2,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Lamwo,3.3860375514530143,32.764728408701686,34.28333333333333,40.516666666666666,25.2,22.066666666666666,1.235,22.083333333333336,6.2,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Nwoya,2.6048242312904546,31.879100533692956,36.33333333333333,44.016666666666666,19.666666666666668,19.25,1.3616666666666666,22.55,6.3,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Omoro,2.679455304659223,32.443382834975075,39.266666666666666,39.666666666666664,21.0,25.016666666666666,1.2583333333333333,18.333333333333336,6.1,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Pader,2.8597845546680296,32.9142194521287,35.06666666666667,39.28333333333333,25.7,23.816666666666666,1.2916666666666665,22.666666666666664,6.316666666666666,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Buhweju,-0.3359757917834646,30.27755849899177,36.483333333333334,33.78333333333333,29.75,40.65,1.1033333333333333,21.316666666666666,5.8,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Bushenyi,-0.4206909534501584,30.13708980539892,36.86666666666667,34.1,29.06666666666667,30.35,1.2116666666666667,23.583333333333336,5.7,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Ibanda,-0.0051880907297385094,30.542685028242975,35.96666666666667,33.33333333333333,30.68333333333333,28.75,1.3116666666666665,27.883333333333333,5.8,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Isingiro,-0.7443276740301492,30.78529201274008,36.35,39.266666666666666,24.383333333333333,19.716666666666665,1.3516666666666666,19.266666666666666,6.0,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kiruhura,-0.3574551174544705,30.868965556560568,37.08333333333333,38.233333333333334,24.68333333333333,25.083333333333336,1.3316666666666666,20.05,6.2,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Mbarara,-0.5387368894262103,30.643938944381986,36.33333333333333,35.41666666666667,28.25,25.96666666666667,1.3633333333333335,19.916666666666668,6.016666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Mitooma,-0.6178363077549905,29.997523979096798,34.36666666666667,33.3,32.35,35.83333333333333,1.1233333333333333,21.983333333333334,5.7,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Ntungamo,-0.9433335769230948,30.258978345679758,38.33333333333333,31.18333333333333,30.51666666666667,28.25,1.265,24.116666666666667,6.1,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Rubirizi,-0.2878831110051649,30.11649966665435,38.56666666666667,32.233333333333334,29.2,36.46666666666667,1.1933333333333334,21.2,5.6,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
