spatial_unit,year,season,crop,yield_tons_ha,yield_tons_ha_planted,harvested_fraction,area_planted_ha,area_harvested_ha,production_mt,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,rain_total_mm,rain_mean_daily_mm,rainy_days_1mm,rainy_days_10mm,heavy_rain_days_20mm,maximum_1day_rainfall_mm,maximum_5day_rainfall_mm,longest_dry_spell_days,wet_day_rainfall_cv,rainfall_onset_date,rainfall_cessation_date,onset_day_of_year,cessation_day_of_year,season_length_days,temperature_mean_c,temperature_maximum_c,temperature_minimum_c,temperature_range_c,growing_degree_days,heat_days_32c,extreme_heat_days_35c,cold_days_10c,target_source,target_source_type,target_geographic_level,predictor_geographic_level,target_definition,target_year,is_proxy,is_synthetic,is_geographically_assigned,season_definition,yield_consistency_ok,rainfall_source,temperature_source,soil_source,soil_source_version,soil_depth_cm,soil_extraction_date,soil_quality_flag,data_version,processing_version
Acholi,2018,annual,maize,1.0,0.922780502452207,0.15996063123477797,59946.0,9589.0,55317.0,,,22.9,1499.7622353427555,4.108937631076042,205,54,3,26.905988931655884,62.98626798391342,49,0.674960441189505,2018-03-04,2018-12-15,63,349,287,25.193111301369868,38.35875,15.745,11.436099315068493,5545.485624999999,141,52,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,first_season,maize,1.6268858066002263,1.4161667964861673,0.8704770738922312,47942.14032561288,41732.53402677024,67894.06728161349,16.589763354664175,17.47189964546245,20.00325538597934,651.0392740555108,4.752111489456283,106,13,0,17.036237239837646,44.716405779123306,8,0.5628318110874938,2020-03-07,2020-04-01,67,92,26,23.905652372262775,36.575,16.9,9.103786496350367,1905.074375,18,2,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,second_season,maize,1.9919193221111424,1.1823105666877405,0.5935534404248184,10696.561668655642,6348.980979146792,12646.657888078616,18.42136967448647,19.386080764407403,21.47042551825298,650.1106713861227,5.285452612895306,93,18,2,22.452183485031128,61.82121396064758,8,0.6666527513708788,2020-08-15,2020-12-09,228,344,117,23.030365853658534,29.81,15.34875,9.431280487804873,1602.7350000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Ankole,2018,annual,maize,2.3,1.9206666102698586,0.524557990017765,59105.0,31004.0,113521.0,,,44.6,1243.510916313457,3.406879222776595,223,33,2,25.05243225097656,75.01569557189941,19,0.7622655808384896,2018-03-04,2018-08-04,63,216,154,21.358550684931505,31.914000000000005,11.931,10.138312328767128,4145.871,0,0,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Ankole,2020,first_season,maize,2.2911775934330265,2.0956935372106344,0.9146796578394061,8773.79237101778,8025.209403876534,18387.17996876993,19.024986164773527,20.499349643686564,20.05132831229202,357.87710261475297,2.612241624925204,66,8,2,28.72265033721924,68.87206845283508,19,0.979865753552169,2020-03-16,2020-06-23,76,175,100,20.86895620437956,27.946,13.906,8.98510948905109,1489.047,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Ankole,2020,second_season,maize,4.746403988018382,2.9577814469350803,0.623162599391366,11986.055961617616,7469.261789492012,35452.1339451982,13.196671304950222,15.758581518624698,16.529419799404966,552.1310719825328,4.488870503923031,89,18,3,36.17350177764892,79.46211805343628,3,0.9458557344724235,2020-09-24,2020-12-13,268,348,81,21.010479674796752,28.569,13.436000000000002,9.163121951219509,1354.289,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Bukedi,2018,annual,maize,1.0,1.2122380323276951,0.40056598733747717,138519.0,55486.0,167918.0,,,11.2,1473.672702934302,4.037459460093978,226,46,4,24.90098206202189,79.15534496307373,19,0.7634577124831139,2018-02-18,2018-11-24,49,328,280,22.99686073059361,35.845,15.146666666666668,9.392589041095892,4743.854166666666,30,6,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Bukedi,2020,first_season,maize,1.5470171390615695,1.499062875139715,0.9690021120574372,46005.41547499803,44579.344761353,68965.01039394768,9.875934481201492,9.809122856761505,11.446508316265888,866.8002625753484,6.327009215878455,114,30,2,27.57192389170329,77.6539474328359,2,0.711099872806906,2020-03-06,2020-07-15,66,197,132,22.404902676399026,30.615,16.669999999999998,7.621824817518249,1699.4716666666666,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Bukedi,2020,second_season,maize,2.5941966847486744,1.3446807030776011,0.518341847780086,38307.0939749609,19856.169874066632,51510.81005911016,10.48923636761742,12.632343295255431,12.560235646556675,946.2316509683926,7.69294025177555,105,28,8,51.53489621480306,138.83227117856345,4,0.9545681726833233,2020-08-15,2020-12-11,228,346,119,22.436768292682924,29.02333333333333,14.981666666666667,8.5660027100271,1529.7224999999999,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Bunyoro,2018,annual,maize,1.7,1.4533244754470465,0.3684504235176881,451575.0,166383.0,656285.0,,,14.4,1379.1427689871216,3.778473339690744,230,38,1,23.338536398751398,50.85511830874851,18,0.6762629553865023,2018-03-04,2018-12-17,63,351,289,24.319369863013698,36.68571428571429,15.795714285714286,9.803444227005876,5226.570000000001,56,10,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
