spatial_unit,year,season,crop,target_temporal_granularity,yield_tons_ha,yield_tons_ha_planted,harvested_fraction,area_planted_ha,area_harvested_ha,production_mt,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,rain_total_mm,rain_mean_daily_mm,rainy_days_1mm,rainy_days_10mm,heavy_rain_days_20mm,maximum_1day_rainfall_mm,maximum_5day_rainfall_mm,longest_dry_spell_days,wet_day_rainfall_cv,rainfall_onset_date,rainfall_cessation_date,onset_day_of_year,cessation_day_of_year,season_length_days,temperature_mean_c,temperature_maximum_c,temperature_minimum_c,temperature_range_c,growing_degree_days,heat_days_32c,extreme_heat_days_35c,cold_days_10c,target_source,target_source_type,target_geographic_level,predictor_geographic_level,target_definition,target_year,target_season,is_proxy,is_synthetic,is_geographically_assigned,season_definition,yield_consistency_ok,rainfall_source,temperature_source,soil_source,soil_source_version,soil_depth_cm,soil_quality_flag,soil_district_count,soil_ph,soil_ph_sd,soil_organic_carbon,soil_organic_carbon_sd,clay_pct,clay_pct_sd,sand_pct,sand_pct_sd,silt_pct,silt_pct_sd,bulk_density,bulk_density_sd,cation_exchange_capacity,cation_exchange_capacity_sd,elevation_source,data_version,processing_version,predictor_geographic_level_x,predictor_geographic_level_y
Acholi,2018,annual,beans,annual,0.7,0.6089352018205774,0.44442448197388906,16698.0,7421.0,10168.0,,,53.1,1499.7622353427555,4.108937631076042,205,54,3,26.905988931655884,62.98626798391342,49,0.674960441189505,2018-03-04,2018-12-15,63,349,287,25.193111301369868,38.35875,15.745,11.436099315068493,5545.485624999999,141,52,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,SoilGrids_v2.0,v2.0,30,validated_district_centroid_aggregate,8,6.214583333333334,0.08611431125646078,23.097916666666666,2.4594882275119434,35.916666666666664,1.7501020378415486,39.8,1.999186342426846,24.279166666666665,2.624982993142186,1.290625,0.03736284441603904,21.22291666666667,1.551955691459639,not_available,aas-chirps-v1,uganda_crop_model-0.2.0,sub_region,sub_region
Acholi,2018,annual,groundnuts,annual,0.6,0.48494719178758267,0.2896719639390649,30393.0,8804.0,14739.0,,,27.6,1499.7622353427555,4.108937631076042,205,54,3,26.905988931655884,62.98626798391342,49,0.674960441189505,2018-03-04,2018-12-15,63,349,287,25.193111301369868,38.35875,15.745,11.436099315068493,5545.485624999999,141,52,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,SoilGrids_v2.0,v2.0,30,validated_district_centroid_aggregate,8,6.214583333333334,0.08611431125646078,23.097916666666666,2.4594882275119434,35.916666666666664,1.7501020378415486,39.8,1.999186342426846,24.279166666666665,2.624982993142186,1.290625,0.03736284441603904,21.22291666666667,1.551955691459639,not_available,aas-chirps-v1,uganda_crop_model-0.2.0,sub_region,sub_region
Acholi,2018,annual,maize,annual,1.0,0.922780502452207,0.15996063123477797,59946.0,9589.0,55317.0,,,22.9,1499.7622353427555,4.108937631076042,205,54,3,26.905988931655884,62.98626798391342,49,0.674960441189505,2018-03-04,2018-12-15,63,349,287,25.193111301369868,38.35875,15.745,11.436099315068493,5545.485624999999,141,52,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,SoilGrids_v2.0,v2.0,30,validated_district_centroid_aggregate,8,6.214583333333334,0.08611431125646078,23.097916666666666,2.4594882275119434,35.916666666666664,1.7501020378415486,39.8,1.999186342426846,24.279166666666665,2.624982993142186,1.290625,0.03736284441603904,21.22291666666667,1.551955691459639,not_available,aas-chirps-v1,uganda_crop_model-0.2.0,sub_region,sub_region
Acholi,2018,annual,millet,annual,0.4,0.5132491193430412,0.20799210213377012,44569.0,9270.0,22875.0,,,30.4,1499.7622353427555,4.108937631076042,205,54,3,26.905988931655884,62.98626798391342,49,0.674960441189505,2018-03-04,2018-12-15,63,349,287,25.193111301369868,38.35875,15.745,11.436099315068493,5545.485624999999,141,52,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,SoilGrids_v2.0,v2.0,30,validated_district_centroid_aggregate,8,6.214583333333334,0.08611431125646078,23.097916666666666,2.4594882275119434,35.916666666666664,1.7501020378415486,39.8,1.999186342426846,24.279166666666665,2.624982993142186,1.290625,0.03736284441603904,21.22291666666667,1.551955691459639,not_available,aas-chirps-v1,uganda_crop_model-0.2.0,sub_region,sub_region
Acholi,2018,annual,rice,annual,1.4,1.130425726901608,0.3729484295592769,24006.0,8953.0,27137.0,,,75.6,1499.7622353427555,4.108937631076042,205,54,3,26.905988931655884,62.98626798391342,49,0.674960441189505,2018-03-04,2018-12-15,63,349,287,25.193111301369868,38.35875,15.745,11.436099315068493,5545.485624999999,141,52,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,SoilGrids_v2.0,v2.0,30,validated_district_centroid_aggregate,8,6.214583333333334,0.08611431125646078,23.097916666666666,2.4594882275119434,35.916666666666664,1.7501020378415486,39.8,1.999186342426846,24.279166666666665,2.624982993142186,1.290625,0.03736284441603904,21.22291666666667,1.551955691459639,not_available,aas-chirps-v1,uganda_crop_model-0.2.0,sub_region,sub_region
Acholi,2018,annual,simsim,annual,0.2,0.21211191889307812,0.8943409160608302,55433.0,49576.0,11758.0,,,15.6,1499.7622353427555,4.108937631076042,205,54,3,26.905988931655884,62.98626798391342,49,0.674960441189505,2018-03-04,2018-12-15,63,349,287,25.193111301369868,38.35875,15.745,11.436099315068493,5545.485624999999,141,52,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,SoilGrids_v2.0,v2.0,30,validated_district_centroid_aggregate,8,6.214583333333334,0.08611431125646078,23.097916666666666,2.4594882275119434,35.916666666666664,1.7501020378415486,39.8,1.999186342426846,24.279166666666665,2.624982993142186,1.290625,0.03736284441603904,21.22291666666667,1.551955691459639,not_available,aas-chirps-v1,uganda_crop_model-0.2.0,sub_region,sub_region
Acholi,2018,annual,sorghum,annual,0.8,0.6855038205706119,0.4208674619317245,36382.0,15312.0,24940.0,,,21.7,1499.7622353427555,4.108937631076042,205,54,3,26.905988931655884,62.98626798391342,49,0.674960441189505,2018-03-04,2018-12-15,63,349,287,25.193111301369868,38.35875,15.745,11.436099315068493,5545.485624999999,141,52,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,SoilGrids_v2.0,v2.0,30,validated_district_centroid_aggregate,8,6.214583333333334,0.08611431125646078,23.097916666666666,2.4594882275119434,35.916666666666664,1.7501020378415486,39.8,1.999186342426846,24.279166666666665,2.624982993142186,1.290625,0.03736284441603904,21.22291666666667,1.551955691459639,not_available,aas-chirps-v1,uganda_crop_model-0.2.0,sub_region,sub_region
Acholi,2018,annual,soya_beans,annual,0.4,0.4638608643276615,0.30673091401897307,13282.0,4074.0,6161.0,,,38.5,1499.7622353427555,4.108937631076042,205,54,3,26.905988931655884,62.98626798391342,49,0.674960441189505,2018-03-04,2018-12-15,63,349,287,25.193111301369868,38.35875,15.745,11.436099315068493,5545.485624999999,141,52,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,SoilGrids_v2.0,v2.0,30,validated_district_centroid_aggregate,8,6.214583333333334,0.08611431125646078,23.097916666666666,2.4594882275119434,35.916666666666664,1.7501020378415486,39.8,1.999186342426846,24.279166666666665,2.624982993142186,1.290625,0.03736284441603904,21.22291666666667,1.551955691459639,not_available,aas-chirps-v1,uganda_crop_model-0.2.0,sub_region,sub_region
Acholi,2018,annual,sweet_potatoes,annual,4.8,2.4347165222678218,0.3447332421340629,6579.0,2268.0,16018.0,,,29.0,1499.7622353427555,4.108937631076042,205,54,3,26.905988931655884,62.98626798391342,49,0.674960441189505,2018-03-04,2018-12-15,63,349,287,25.193111301369868,38.35875,15.745,11.436099315068493,5545.485624999999,141,52,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,SoilGrids_v2.0,v2.0,30,validated_district_centroid_aggregate,8,6.214583333333334,0.08611431125646078,23.097916666666666,2.4594882275119434,35.916666666666664,1.7501020378415486,39.8,1.999186342426846,24.279166666666665,2.624982993142186,1.290625,0.03736284441603904,21.22291666666667,1.551955691459639,not_available,aas-chirps-v1,uganda_crop_model-0.2.0,sub_region,sub_region
Ankole,2018,annual,beans,annual,0.7,0.660831541530019,0.4000608127185457,138129.0,55260.0,91280.0,,,12.5,1243.510916313457,3.406879222776595,223,33,2,25.05243225097656,75.01569557189941,19,0.7622655808384896,2018-03-04,2018-08-04,63,216,154,21.358550684931505,31.914000000000005,11.931,10.138312328767128,4145.871,0,0,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,SoilGrids_v2.0,v2.0,30,validated_district_centroid_aggregate,10,5.866666666666666,0.1986062547968831,29.723333333333336,6.272806291081536,36.69166666666666,1.1846302230789565,34.480000000000004,2.5256560081699444,28.839999999999996,2.527273453963998,1.2521666666666669,0.09210182904579173,22.166666666666664,2.5422358196994557,not_available,aas-chirps-v1,uganda_crop_model-0.2.0,sub_region,sub_region
