district,year,yield_tons_ha,yield_source,yield_tons_ha_original,yield_tons_ha_aas2020,sub_region,source_granularity,MAM,SON,DJF,JJA,annual_rainfall,rain_cv,max_monthly,min_monthly,rainy_months,MAM_tmax,MAM_tmin,MAM_gdd,MAM_heat_stress,MAM_cold_stress,SON_tmax,SON_tmin,SON_gdd,SON_heat_stress,SON_cold_stress,DJF_tmax,DJF_tmin,DJF_gdd,DJF_heat_stress,DJF_cold_stress,JJA_tmax,JJA_tmin,JJA_gdd,JJA_heat_stress,JJA_cold_stress,annual_tmax,annual_tmin,annual_gdd,annual_heat_stress,annual_cold_stress,elevation_m,lat,lon,phh2o,soc,clay,sand,silt,bdod,cec,source_status,n_households,total_area_ha,total_production_kg,fertilizer_kg_ha,planting_density,ndvi_peak,evi_peak,soil_moisture_index,planting_date,solar_radiation,yield_tons_ha_planted_aas2020,area_planted_ha_aas2020,area_harvested_ha_aas2020,production_mt_aas2020,cv_area_planted_pct_aas2020,cv_area_harvested_pct_aas2020,cv_production_pct_aas2020
Iganga,2020,1.60003238244435,AAS2020_subregion_assigned_to_district,2.018791183526957,1.60003238244435,Busoga,sub_region_assigned_to_district,585.702464783476,566.2544731191389,131.86474081548076,430.3651960424623,1714.1868747605577,0.423389173499331,278.8683008298996,21.93337157135109,10,29.16172233051384,19.51659181211096,1318.9195333845082,0,0,29.77824714169117,17.755312039406462,1252.8215815789204,0,0,32.06308983605148,19.491502307628327,1435.3929324157357,0,0,28.340365859246976,17.707005322250357,1199.8552126912434,0,0,29.835856291875867,18.61760287034902,5206.989260070408,0,0,1100,0.617,33.483,,,,,,,,request_failed,,,,,,,,0.2537254927059014,,,1.335881295023926,229357.0431644484,191492.2392866248,306393.7838453818,10.621829411430818,11.651995171789787,10.762188417763424
Iganga,2021,2.2376424102876458,existing_model_table,2.2376424102876458,,,,461.7931654891477,520.1474958776157,92.49664707958688,376.02651320564473,1450.463821651995,0.4527157503893335,248.7992568827284,11.305005868765654,8,28.54812883174332,18.912798103542816,1262.632205810271,0,0,29.14173558695855,17.003616542415433,1189.4268132824802,0,0,29.836292376328743,18.796213789420527,1286.2018289486284,0,0,24.295586691775217,16.980097599875062,978.731793838232,0,0,27.955435871701457,17.92318150881346,4716.992641879612,0,0,1100,0.617,33.483,,,,,,,,request_failed,,,,,,,,0.2417514336605866,,,,,,,,,
Iganga,2022,2.1255740157169964,existing_model_table,2.1255740157169964,,,,410.6166651140644,537.1430209949531,106.60955194947584,368.621960535661,1422.9911985941542,0.4403255470188394,291.65859726565503,15.381350005369368,11,28.444152200107435,19.30750537561544,1276.3999348342754,0,0,29.02444713905528,16.579337607193153,1165.4344300825076,0,0,30.685247516809472,18.844526419152803,1322.7174616797356,0,0,27.604814757869487,17.25673375794818,1142.9149040820134,0,0,28.93966540346042,17.997025789977396,4907.466730678532,0,0,1100,0.617,33.483,,,,,,,,request_failed,,,,,,,,0.2407828097542127,,,,,,,,,
Iganga,2023,2.8589523149053666,existing_model_table,2.8589523149053666,,,,373.11805366328485,484.6856675952312,119.1247078342125,331.0064249479973,1307.934854040726,0.4052040486098561,239.14406319834703,19.759036932855302,8,29.692096353004853,19.7145156024222,1354.0609939921983,0,0,30.538441040154925,19.09685982178843,1348.8777006388234,0,0,29.358983128348047,21.391737772494167,1379.2151000637427,0,0,28.987445969697,19.589708828244586,1314.7911814961667,0,0,29.644241622801204,19.948205506237343,5396.944976190931,0,0,1100,0.617,33.483,,,,,,,,request_failed,,,,,,,,0.2415722099443276,,,,,,,,,
Jinja,2020,1.60003238244435,AAS2020_subregion_assigned_to_district,1.6262372925553266,1.60003238244435,Busoga,sub_region_assigned_to_district,490.2309839137142,502.2243199324212,130.87709858549246,348.72087945446407,1472.0532818860918,0.4065862464549883,275.86848620567986,13.840711470276908,8,28.174841975613464,19.106666666971904,1255.363689365303,0,0,28.735366013097984,17.019193323548876,1173.192599276585,0,0,30.71029272665241,18.74704786906524,1337.4481754820831,0,0,26.1355128364856,17.46366777081615,1084.770812013977,0,0,28.43900338796236,18.08414390760053,4850.775276137949,0,0,1200,0.425,33.204,,,,,,,,request_failed,,,,,,,,0.2677227469782035,,,1.335881295023926,229357.0431644484,191492.2392866248,306393.7838453818,10.621829411430818,11.651995171789787,10.762188417763424
Jinja,2021,2.1208120720301182,existing_model_table,2.1208120720301182,,,,430.603214210481,510.0206459600387,116.79220783921892,301.7638807955273,1359.179948805266,0.4374999165057678,248.7498488156905,11.469750610515742,9,28.47453692472672,18.27104003986401,1229.5465226566434,0,0,28.61079099590965,17.26314905660254,1176.9526030862753,0,0,31.50275901618374,18.582006591374554,1353.633044342926,0,0,25.837876843538822,17.39607361470954,1069.3884811440082,0,0,28.60649094508973,17.878067325637662,4829.520651229853,0,0,1200,0.425,33.204,,,,,,,,request_failed,,,,,,,,0.2654743020733197,,,,,,,,,
Jinja,2022,2.2412074599150142,existing_model_table,2.2412074599150142,,,,482.21790581538,580.3476948622102,58.11096314751464,245.43985981657968,1366.1164236416846,0.5971748564757045,315.7273838690753,11.346730584483732,10,27.58241659764125,18.161877558570747,1184.1080420913397,0,0,27.48427601059387,16.25774061864514,1080.2443724380505,0,0,29.8269270540205,17.940869137647265,1248.7016018447978,0,0,26.497397823686555,16.577343139014,1060.2014986295817,0,0,27.847754371485543,17.234457613469285,4573.25551500377,0,0,1200,0.425,33.204,,,,,,,,request_failed,,,,,,,,0.2593992215891679,,,,,,,,,
Jinja,2023,2.218307504269608,existing_model_table,2.218307504269608,,,,415.3248004366408,575.4720275589814,81.61475989980585,334.0523342293767,1406.4639221248049,0.5075176408515988,308.26761071053227,14.43290064584173,10,27.48594778955804,17.543760752726644,1151.8765395540936,0,0,25.835912332059763,15.63298281944214,976.9896251818586,0,0,26.66167232937926,16.829985337710877,1053.925121355339,0,0,24.999123996400755,15.37662426559716,937.6639542768858,0,0,26.24566411184945,16.345838293869203,4120.455240368176,0,0,1200,0.425,33.204,,,,,,,,request_failed,,,,,,,,0.2645751051604748,,,,,,,,,
Kapchorwa,2020,2.6510166735556018,AAS2020_subregion_assigned_to_district,2.6246303461837384,2.6510166735556018,Elgon,sub_region_assigned_to_district,463.2597670976912,455.3540149680204,77.95517976530977,358.68826321632173,1355.2572250473431,0.4608231152937389,220.09204615838263,17.17099052121067,10,25.0558849005552,15.262844287454556,934.0818085850544,0,0,24.128237395231498,14.034293444819722,826.1243300028846,0,0,27.48763130747732,14.750204553900744,1009.2239909753794,0,0,23.69875769486518,12.588498278952532,750.1535193490771,0,0,25.0926278245323,14.158960141281888,3519.583648912396,0,0,1800,1.4,34.45,,,,,,,,request_failed,,,,,,,,0.2378369122743606,,,1.9451136351341072,90903.73658389092,66698.22158334941,176818.0975139654,16.2786131481389,16.80140034136693,20.825727510031903
Kapchorwa,2021,2.9061029429596017,existing_model_table,2.9061029429596017,,,,396.0506345979812,621.4702322967422,37.86526214835585,247.439652223426,1302.8257812665054,0.653831134355159,314.1297018361786,6.757846620454223,9,25.5806471831146,14.54584996381034,926.0794862349024,0,0,25.02773402229255,14.6025661780343,892.2559643483726,0,0,26.97923843538304,16.517881548821162,1053.12605021633,0,0,23.864873670084904,14.126781935544264,828.9673632439656,0,0,25.36312332771877,14.948269906552516,3700.42886404357,0,0,1800,1.4,34.45,,,,,,,,request_failed,,,,,,,,0.2036782590051492,,,,,,,,,
