component,explained_variance_ratio,cumulative_explained_variance,eigenvalue
PC1,0.6034198320106694,0.6034198320106694,17.785005575051315
PC2,0.12603704385792705,0.7294568758685964,3.7147760294967984
PC3,0.08746718775610868,0.816924063624705,2.577980270706362
PC4,0.06439411716811802,0.8813181807928231,1.8979318744287421
PC5,0.03445365742299784,0.915771838215821,1.0154762187830946
PC6,0.020323401342162095,0.9360952395579831,0.5990055132426725
PC7,0.018010148838963458,0.9541053883969466,0.5308254394641863
PC8,0.015309104107139319,0.969414492504086,0.45121569999989586
PC9,0.011801190611679386,0.9812156831157653,0.34782456539686624
PC10,0.005621395553885709,0.9868370786696511,0.16568323737768412
PC11,0.0041763913386188576,0.99101347000827,0.12309363945402953
PC12,0.0030667771700088895,0.9940802471782789,0.09038922185289361
PC13,0.0026204312647404564,0.9967006784430194,0.07723376359235032
PC14,0.0016697760510293856,0.9983704544940487,0.0492144520303398
PC15,0.0007615036509888273,0.9991319581450375,0.02244431813440755
PC16,0.0005540952646623513,0.9996860534096998,0.016331228853206148
PC17,0.0002391840813560456,0.9999252374910559,0.0070496360820729255
PC18,4.6618027819424315e-05,0.9999718555188754,0.0013740050304672435
PC19,2.8144481124866096e-05,1.0000000000000002,0.000829521548943422
PC20,1.252816622770626e-33,1.0000000000000002,3.6925121513239513e-32
