Region/Subregion/District,Area of district,Region/Sub region in Uganda, Permanently wet (%),seasonally wet,Wetland ,Water area (%)
,,(%),,(%),(%),
CENTRAL,"6,140,411",25.4,4,11,14.6,35.2
CENTRAL NORTH,"2,114,958",8.8,4.4,17.5,21.9,2.6
CENTRAL SOUTH,"4,025,453",16.7,3.8,6.9,10.7,52.4
EASTERN,"3,947,938",16.3,6.5,15.2,21.7,24.5
EAST CENTRAL,"1,857,555",7.7,4.2,9.7,13.9,45.8
ELGON,"604,776",2.5,4.9,12.7,17.6,0
TESO,"1,485,607",6.2,10,23.1,33.1,7.8
NORTHERN,"8,539,419",35.4,1.3,8.3,9.6,2
ACHOLI,"2,828,130",11.7,0.4,5,5.4,0.4
KARAMOJA,"2,759,806",11.4,0.1,11.9,12,0
LANGO,"1,374,212",5.7,4.5,12.4,16.9,9.2
WEST NILE,"1,577,272",6.5,2.1,4.6,6.7,2.1
WESTERN,"5,527,728",22.9,2.2,8.1,10.3,8.1
SOUTH WESTERN,"2,168,557",9,2.2,5.7,7.9,3.2
WESTERN,"3,359,171",13.9,2.2,9.6,11.9,11.2
Grand Total,"24,155,496",100,3,10,13,15.5
Source: NFA 2015,,,,,,
