component,explained_variance_ratio,cumulative_explained_variance,eigenvalue
PC1,0.5895807732168871,0.5895807732168871,17.997728866620772
PC2,0.12314838315173911,0.7127291563686262,3.7592664330530905
PC3,0.08482676780283321,0.7975559241714594,2.5894487013496468
PC4,0.07352241118894219,0.8710783353604016,2.2443683415571836
PC5,0.03639442480103329,0.9074727601614349,1.1109877044525958
PC6,0.025192247061362204,0.9326650072227971,0.7690264892415835
PC7,0.019535470896104027,0.9522004781189012,0.5963459536705443
PC8,0.014803609551618453,0.9670040876705196,0.45189965999677406
PC9,0.011426583280854557,0.9784306709513741,0.34881148962608666
PC10,0.006328831580176767,0.9847595025315509,0.19319591139486983
PC11,0.0040325984864146526,0.9887921010179656,0.12310037484844735
PC12,0.003858405478336832,0.9926505064963024,0.11778290407554545
PC13,0.002794892459093813,0.9954453989553962,0.08531776980391644
PC14,0.001716200776608045,0.9971615997320042,0.05238928686487719
PC15,0.0014755460677851019,0.9986371457997893,0.04504298522712418
PC16,0.0006832290820233027,0.9993203748818127,0.020856466714395568
PC17,0.0005208594989888642,0.9998412343808015,0.015899921548081123
PC18,0.00011442075975806017,0.9999556551405596,0.003492844245246049
PC19,4.434485944024768e-05,0.9999999999999999,0.0013536851829128247
PC20,6.645630884017956e-34,0.9999999999999999,2.028666269858114e-32
