feature,non_null_fraction
DJF,1.0
DJF_cold_stress,1.0
DJF_gdd,1.0
DJF_heat_stress,1.0
DJF_tmax,1.0
DJF_tmin,1.0
JJA,1.0
JJA_cold_stress,1.0
JJA_gdd,1.0
JJA_heat_stress,1.0
JJA_tmax,1.0
JJA_tmin,1.0
MAM,1.0
MAM_cold_stress,1.0
MAM_gdd,1.0
MAM_heat_stress,1.0
MAM_tmax,1.0
MAM_tmin,1.0
SON,1.0
SON_cold_stress,1.0
SON_gdd,1.0
SON_heat_stress,1.0
SON_tmax,1.0
SON_tmin,1.0
annual_cold_stress,1.0
annual_gdd,1.0
annual_heat_stress,1.0
annual_rainfall,1.0
annual_tmax,1.0
annual_tmin,1.0
elevation_m,1.0
lat,1.0
lon,1.0
max_monthly,1.0
min_monthly,1.0
rain_cv,1.0
rainy_months,1.0
soil_moisture_index,1.0
