district,lat,lon,year,month,rainfall_mm,temp_c
luwero,0.85,32.47,2015,1,0.1,23.52
luwero,0.85,32.47,2015,2,0.88,26.11
luwero,0.85,32.47,2015,3,3.89,26.01
luwero,0.85,32.47,2015,4,6.21,21.99
luwero,0.85,32.47,2015,5,7.88,21.69
luwero,0.85,32.47,2015,6,2.02,21.82
luwero,0.85,32.47,2015,7,1.23,22.36
luwero,0.85,32.47,2015,8,1.49,23.34
luwero,0.85,32.47,2015,9,2.28,23.74
luwero,0.85,32.47,2015,10,6.85,22.92
luwero,0.85,32.47,2015,11,13.9,21.78
luwero,0.85,32.47,2015,12,4.27,21.9
luwero,0.85,32.47,2015,13,4.26,23.08
luwero,0.85,32.47,2016,1,1.1,23.06
luwero,0.85,32.47,2016,2,0.41,24.93
luwero,0.85,32.47,2016,3,2.83,25.84
luwero,0.85,32.47,2016,4,7.65,22.61
luwero,0.85,32.47,2016,5,3.31,21.87
luwero,0.85,32.47,2016,6,2.22,21.48
luwero,0.85,32.47,2016,7,1.1,21.95
luwero,0.85,32.47,2016,8,1.73,22.83
luwero,0.85,32.47,2016,9,3.37,23.17
luwero,0.85,32.47,2016,10,4.41,22.9
luwero,0.85,32.47,2016,11,2.19,23.31
luwero,0.85,32.47,2016,12,0.72,25.75
luwero,0.85,32.47,2016,13,2.58,23.31
luwero,0.85,32.47,2017,1,0.96,26.38
luwero,0.85,32.47,2017,2,3.61,25.68
luwero,0.85,32.47,2017,3,3.0,24.21
luwero,0.85,32.47,2017,4,4.93,23.92
luwero,0.85,32.47,2017,5,6.43,21.86
luwero,0.85,32.47,2017,6,2.25,22.43
luwero,0.85,32.47,2017,7,1.56,22.37
luwero,0.85,32.47,2017,8,2.28,22.89
luwero,0.85,32.47,2017,9,4.53,22.65
luwero,0.85,32.47,2017,10,3.27,23.36
luwero,0.85,32.47,2017,11,3.06,23.3
luwero,0.85,32.47,2017,12,0.12,26.28
luwero,0.85,32.47,2017,13,2.99,23.77
luwero,0.85,32.47,2018,1,0.61,25.63
luwero,0.85,32.47,2018,2,1.72,26.81
luwero,0.85,32.47,2018,3,3.61,23.29
luwero,0.85,32.47,2018,4,7.17,21.87
luwero,0.85,32.47,2018,5,2.45,21.79
luwero,0.85,32.47,2018,6,2.0,21.77
luwero,0.85,32.47,2018,7,1.2,22.26
luwero,0.85,32.47,2018,8,2.67,22.58
luwero,0.85,32.47,2018,9,3.57,23.54
luwero,0.85,32.47,2018,10,3.86,22.41
luwero,0.85,32.47,2018,11,3.35,22.72
luwero,0.85,32.47,2018,12,2.05,24.46
luwero,0.85,32.47,2018,13,2.85,23.24
luwero,0.85,32.47,2019,1,0.83,25.78
luwero,0.85,32.47,2019,2,1.48,27.11
luwero,0.85,32.47,2019,3,2.11,26.96
luwero,0.85,32.47,2019,4,6.18,23.99
luwero,0.85,32.47,2019,5,4.9,22.37
luwero,0.85,32.47,2019,6,4.21,21.7
luwero,0.85,32.47,2019,7,2.55,21.87
luwero,0.85,32.47,2019,8,3.4,22.62
luwero,0.85,32.47,2019,9,4.21,22.78
luwero,0.85,32.47,2019,10,13.74,21.42
luwero,0.85,32.47,2019,11,4.91,21.72
luwero,0.85,32.47,2019,12,5.79,21.94
luwero,0.85,32.47,2019,13,4.55,23.33
luwero,0.85,32.47,2020,1,2.37,22.9
luwero,0.85,32.47,2020,2,4.06,23.56
luwero,0.85,32.47,2020,3,8.0,22.99
luwero,0.85,32.47,2020,4,5.03,22.34
luwero,0.85,32.47,2020,5,5.21,21.26
luwero,0.85,32.47,2020,6,2.37,20.65
luwero,0.85,32.47,2020,7,1.72,20.07
luwero,0.85,32.47,2020,8,2.11,21.51
luwero,0.85,32.47,2020,9,3.92,22.19
luwero,0.85,32.47,2020,10,5.14,21.61
luwero,0.85,32.47,2020,11,5.24,22.38
luwero,0.85,32.47,2020,12,2.32,22.83
luwero,0.85,32.47,2020,13,3.95,22.02
luwero,0.85,32.47,2021,1,4.25,23.17
luwero,0.85,32.47,2021,2,0.89,23.9
luwero,0.85,32.47,2021,3,0.94,24.97
luwero,0.85,32.47,2021,4,5.26,22.39
luwero,0.85,32.47,2021,5,2.02,21.94
luwero,0.85,32.47,2021,6,0.62,22.22
luwero,0.85,32.47,2021,7,0.25,22.64
luwero,0.85,32.47,2021,8,0.87,23.99
luwero,0.85,32.47,2021,9,2.67,22.91
luwero,0.85,32.47,2021,10,2.29,24.28
luwero,0.85,32.47,2021,11,4.72,23.61
luwero,0.85,32.47,2021,12,1.38,24.86
luwero,0.85,32.47,2021,13,2.18,23.41
luwero,0.85,32.47,2022,1,1.16,25.12
luwero,0.85,32.47,2022,2,0.78,25.35
luwero,0.85,32.47,2022,3,3.08,25.92
luwero,0.85,32.47,2022,4,3.81,24.09
luwero,0.85,32.47,2022,5,3.28,22.85
luwero,0.85,32.47,2022,6,1.31,22.44
luwero,0.85,32.47,2022,7,1.58,22.85
luwero,0.85,32.47,2022,8,2.83,22.33
luwero,0.85,32.47,2022,9,4.14,22.7
luwero,0.85,32.47,2022,10,6.11,22.53
luwero,0.85,32.47,2022,11,4.07,22.62
luwero,0.85,32.47,2022,12,3.82,23.06
luwero,0.85,32.47,2022,13,3.01,23.48
luwero,0.85,32.47,2023,1,0.6,25.0
luwero,0.85,32.47,2023,2,0.52,26.99
luwero,0.85,32.47,2023,3,7.69,23.84
luwero,0.85,32.47,2023,4,5.11,22.43
luwero,0.85,32.47,2023,5,2.63,22.69
luwero,0.85,32.47,2023,6,7.71,21.78
luwero,0.85,32.47,2023,7,0.99,22.05
luwero,0.85,32.47,2023,8,1.63,23.8
luwero,0.85,32.47,2023,9,7.73,23.1
luwero,0.85,32.47,2023,10,7.83,22.69
luwero,0.85,32.47,2023,11,8.95,22.42
luwero,0.85,32.47,2023,12,1.86,23.13
luwero,0.85,32.47,2023,13,4.44,23.31
nakasongola,1.32,32.46,2015,1,0.42,24.56
nakasongola,1.32,32.46,2015,2,0.66,27.36
nakasongola,1.32,32.46,2015,3,2.48,27.13
nakasongola,1.32,32.46,2015,4,5.14,23.09
nakasongola,1.32,32.46,2015,5,4.55,22.92
nakasongola,1.32,32.46,2015,6,2.25,23.48
nakasongola,1.32,32.46,2015,7,1.29,24.01
nakasongola,1.32,32.46,2015,8,1.93,24.85
nakasongola,1.32,32.46,2015,9,2.66,24.78
nakasongola,1.32,32.46,2015,10,5.46,24.3
nakasongola,1.32,32.46,2015,11,9.63,22.83
nakasongola,1.32,32.46,2015,12,3.33,23.29
nakasongola,1.32,32.46,2015,13,3.32,24.37
nakasongola,1.32,32.46,2016,1,0.92,25.08
nakasongola,1.32,32.46,2016,2,0.26,27.21
nakasongola,1.32,32.46,2016,3,2.68,27.62
nakasongola,1.32,32.46,2016,4,6.97,23.68
nakasongola,1.32,32.46,2016,5,2.68,23.23
nakasongola,1.32,32.46,2016,6,2.58,22.73
nakasongola,1.32,32.46,2016,7,1.16,23.24
nakasongola,1.32,32.46,2016,8,1.81,24.26
nakasongola,1.32,32.46,2016,9,4.11,24.13
nakasongola,1.32,32.46,2016,10,3.65,24.04
nakasongola,1.32,32.46,2016,11,1.56,24.75
nakasongola,1.32,32.46,2016,12,0.44,26.81
nakasongola,1.32,32.46,2016,13,2.4,24.73
nakasongola,1.32,32.46,2017,1,0.92,26.97
nakasongola,1.32,32.46,2017,2,2.85,26.87
nakasongola,1.32,32.46,2017,3,2.68,25.61
nakasongola,1.32,32.46,2017,4,3.41,25.13
nakasongola,1.32,32.46,2017,5,5.14,23.09
nakasongola,1.32,32.46,2017,6,2.32,23.83
nakasongola,1.32,32.46,2017,7,2.48,23.33
nakasongola,1.32,32.46,2017,8,2.91,23.56
nakasongola,1.32,32.46,2017,9,3.63,23.5
nakasongola,1.32,32.46,2017,10,2.82,24.56
nakasongola,1.32,32.46,2017,11,2.02,24.74
nakasongola,1.32,32.46,2017,12,0.03,27.2
nakasongola,1.32,32.46,2017,13,2.6,24.86
nakasongola,1.32,32.46,2018,1,0.35,26.65
nakasongola,1.32,32.46,2018,2,1.47,27.82
nakasongola,1.32,32.46,2018,3,2.96,24.54
nakasongola,1.32,32.46,2018,4,7.24,22.88
nakasongola,1.32,32.46,2018,5,2.69,22.92
nakasongola,1.32,32.46,2018,6,2.21,22.73
nakasongola,1.32,32.46,2018,7,1.0,23.0
nakasongola,1.32,32.46,2018,8,2.96,23.59
nakasongola,1.32,32.46,2018,9,2.33,24.93
nakasongola,1.32,32.46,2018,10,3.14,23.91
nakasongola,1.32,32.46,2018,11,1.77,24.49
nakasongola,1.32,32.46,2018,12,1.61,25.84
nakasongola,1.32,32.46,2018,13,2.48,24.42
nakasongola,1.32,32.46,2019,1,0.54,27.08
nakasongola,1.32,32.46,2019,2,1.92,28.08
nakasongola,1.32,32.46,2019,3,1.06,28.04
nakasongola,1.32,32.46,2019,4,5.02,25.46
nakasongola,1.32,32.46,2019,5,3.9,23.66
nakasongola,1.32,32.46,2019,6,5.01,22.78
nakasongola,1.32,32.46,2019,7,2.6,22.86
nakasongola,1.32,32.46,2019,8,4.09,23.54
nakasongola,1.32,32.46,2019,9,3.87,23.98
nakasongola,1.32,32.46,2019,10,11.82,22.55
nakasongola,1.32,32.46,2019,11,3.27,23.02
nakasongola,1.32,32.46,2019,12,3.73,23.13
nakasongola,1.32,32.46,2019,13,3.91,24.49
nakasongola,1.32,32.46,2020,1,1.6,24.38
nakasongola,1.32,32.46,2020,2,1.93,25.65
nakasongola,1.32,32.46,2020,3,7.44,24.29
nakasongola,1.32,32.46,2020,4,5.31,23.7
nakasongola,1.32,32.46,2020,5,3.94,22.3
nakasongola,1.32,32.46,2020,6,2.62,21.73
nakasongola,1.32,32.46,2020,7,2.43,21.13
nakasongola,1.32,32.46,2020,8,2.74,22.85
nakasongola,1.32,32.46,2020,9,5.64,23.63
nakasongola,1.32,32.46,2020,10,5.96,22.78
nakasongola,1.32,32.46,2020,11,3.12,23.84
nakasongola,1.32,32.46,2020,12,1.08,24.83
nakasongola,1.32,32.46,2020,13,3.65,23.42
nakasongola,1.32,32.46,2021,1,2.89,24.67
nakasongola,1.32,32.46,2021,2,0.74,25.57
nakasongola,1.32,32.46,2021,3,0.66,26.75
nakasongola,1.32,32.46,2021,4,4.76,23.68
nakasongola,1.32,32.46,2021,5,2.2,23.36
nakasongola,1.32,32.46,2021,6,0.68,23.52
nakasongola,1.32,32.46,2021,7,0.31,23.65
nakasongola,1.32,32.46,2021,8,0.74,24.98
nakasongola,1.32,32.46,2021,9,2.4,23.93
nakasongola,1.32,32.46,2021,10,2.29,25.7
nakasongola,1.32,32.46,2021,11,2.94,25.39
nakasongola,1.32,32.46,2021,12,0.81,26.45
nakasongola,1.32,32.46,2021,13,1.78,24.81
nakasongola,1.32,32.46,2022,1,1.02,26.22
nakasongola,1.32,32.46,2022,2,0.57,26.8
nakasongola,1.32,32.46,2022,3,2.13,27.47
nakasongola,1.32,32.46,2022,4,3.55,25.18
nakasongola,1.32,32.46,2022,5,2.97,24.14
nakasongola,1.32,32.46,2022,6,1.4,23.26
nakasongola,1.32,32.46,2022,7,1.82,23.66
nakasongola,1.32,32.46,2022,8,3.74,22.97
nakasongola,1.32,32.46,2022,9,5.21,23.57
nakasongola,1.32,32.46,2022,10,4.31,23.91
nakasongola,1.32,32.46,2022,11,2.43,24.5
nakasongola,1.32,32.46,2022,12,1.97,25.16
nakasongola,1.32,32.46,2022,13,2.6,24.73
nakasongola,1.32,32.46,2023,1,0.61,26.3
nakasongola,1.32,32.46,2023,2,0.51,28.17
nakasongola,1.32,32.46,2023,3,6.37,24.97
nakasongola,1.32,32.46,2023,4,4.26,23.94
nakasongola,1.32,32.46,2023,5,2.85,24.01
nakasongola,1.32,32.46,2023,6,4.89,23.17
nakasongola,1.32,32.46,2023,7,1.51,23.28
nakasongola,1.32,32.46,2023,8,1.9,24.99
nakasongola,1.32,32.46,2023,9,5.89,24.42
nakasongola,1.32,32.46,2023,10,7.09,23.89
nakasongola,1.32,32.46,2023,11,5.18,23.88
nakasongola,1.32,32.46,2023,12,1.12,25.28
nakasongola,1.32,32.46,2023,13,3.52,24.67
mubende,0.59,31.37,2015,1,0.46,20.86
mubende,0.59,31.37,2015,2,0.95,23.09
mubende,0.59,31.37,2015,3,4.48,23.32
mubende,0.59,31.37,2015,4,4.07,20.63
mubende,0.59,31.37,2015,5,8.13,20.37
mubende,0.59,31.37,2015,6,1.85,20.73
mubende,0.59,31.37,2015,7,0.86,21.07
