aggregation_level,model,feature_space,target_scale,crop,season,nominal_coverage,actual_coverage,mean_interval_width,observations,calibration_size_min,calibration_group_count_min,calibration_group_count_max
overall,dummy_mean,hybrid,crop_centered,,,0.9,0.9357429718875502,6.41189516452201,249,52,3,3
overall,dummy_mean,hybrid,raw,,,0.9,0.9437751004016064,8.756895407530019,249,52,3,3
overall,dummy_mean,pca,crop_centered,,,0.9,0.9357429718875502,6.41189516452201,249,52,3,3
overall,dummy_mean,pca,raw,,,0.9,0.9437751004016064,8.756895407530019,249,52,3,3
overall,dummy_mean,raw,crop_centered,,,0.9,0.9357429718875502,6.41189516452201,249,52,3,3
overall,dummy_mean,raw,raw,,,0.9,0.9437751004016064,8.756895407530019,249,52,3,3
overall,ols,hybrid,crop_centered,,,0.9,0.927710843373494,9.336400294660274,249,52,3,3
overall,ols,hybrid,raw,,,0.9,0.927710843373494,9.336400294660274,249,52,3,3
overall,ols,pca,crop_centered,,,0.9,0.891566265060241,5.60112295551931,249,52,3,3
overall,ols,pca,raw,,,0.9,0.891566265060241,5.601122955519304,249,52,3,3
overall,ols,raw,crop_centered,,,0.9,0.8192771084337349,15.168444391518461,249,52,3,3
overall,ols,raw,raw,,,0.9,0.8192771084337349,15.168444391518456,249,52,3,3
overall,ridge,hybrid,crop_centered,,,0.9,0.9196787148594378,6.346806063148704,249,52,3,3
overall,ridge,hybrid,raw,,,0.9,0.9036144578313253,7.264123945764804,249,52,3,3
overall,ridge,pca,crop_centered,,,0.9,0.9236947791164659,6.41315033518652,249,52,3,3
overall,ridge,pca,raw,,,0.9,0.8674698795180723,5.391523881446699,249,52,3,3
overall,ridge,raw,crop_centered,,,0.9,0.9156626506024096,6.2083306187568335,249,52,3,3
overall,ridge,raw,raw,,,0.9,0.9156626506024096,8.068214917439244,249,52,3,3
crop,dummy_mean,hybrid,crop_centered,beans,,0.9,1.0,6.403642600172398,27,52,3,3
crop,dummy_mean,hybrid,crop_centered,groundnuts,,0.9,1.0,6.402866653312971,28,52,3,3
