fold,model,feature_space,target_scale,test_rows,rmse,mae,r2,best_parameters,calibration_size,calibration_group_count,conformal_alpha
1,dummy_mean,raw,raw,56,2.4023682342208,1.5339626726880873,-0.006337729320603058,{},56,3,0.1
2,dummy_mean,raw,raw,57,3.0733516609576967,1.8023339107262475,-0.0017213640943944952,{},54,3,0.1
3,dummy_mean,raw,raw,53,2.0806253705402464,1.6100935030693015,-0.04420161350231022,{},52,3,0.1
4,dummy_mean,raw,raw,52,6.219719493771843,2.2443918172862647,-0.029493961480708375,{},58,3,0.1
5,dummy_mean,raw,raw,31,1.8914823895774535,1.4401694757143861,-0.10357319821642519,{},52,3,0.1
1,ols,raw,raw,56,1.7893569672688143,1.2271734788057564,0.44171163196382646,{},56,3,0.1
2,ols,raw,raw,57,5.049497241240493,3.810601759073495,-1.7040748091179028,{},54,3,0.1
3,ols,raw,raw,53,6.08632654574145,5.067745605042477,-7.935257637690571,{},52,3,0.1
4,ols,raw,raw,52,7.077037797615375,3.6712670677865615,-0.3328621538961771,{},58,3,0.1
5,ols,raw,raw,31,7.252365174670464,6.745457913248572,-15.223922671445468,{},52,3,0.1
1,ridge,raw,raw,56,1.9115102388083538,1.213319830666856,0.3628849571278422,{'model__alpha': 10.0},56,3,0.1
2,ridge,raw,raw,57,3.2638870762929617,2.260379121910109,-0.12977685431741537,{'model__alpha': 10.0},54,3,0.1
3,ridge,raw,raw,53,1.755679411809469,1.2528784465713236,0.2564896594185738,{'model__alpha': 10.0},52,3,0.1
4,ridge,raw,raw,52,6.058438332453773,1.6835932499015318,0.023204636333172934,{'model__alpha': 10.0},58,3,0.1
5,ridge,raw,raw,31,1.9708743750101019,1.5302411333217436,-0.19815892166419968,{'model__alpha': 1.0},52,3,0.1
1,dummy_mean,pca,raw,56,2.4023682342208,1.5339626726880873,-0.006337729320603058,{'preprocess__continuous_pca__pca__n_components': 0.8},56,3,0.1
2,dummy_mean,pca,raw,57,3.0733516609576967,1.8023339107262475,-0.0017213640943944952,{'preprocess__continuous_pca__pca__n_components': 0.8},54,3,0.1
3,dummy_mean,pca,raw,53,2.0806253705402464,1.6100935030693015,-0.04420161350231022,{'preprocess__continuous_pca__pca__n_components': 0.8},52,3,0.1
4,dummy_mean,pca,raw,52,6.219719493771843,2.2443918172862647,-0.029493961480708375,{'preprocess__continuous_pca__pca__n_components': 0.8},58,3,0.1
5,dummy_mean,pca,raw,31,1.8914823895774535,1.4401694757143861,-0.10357319821642519,{'preprocess__continuous_pca__pca__n_components': 0.8},52,3,0.1
1,ols,pca,raw,56,1.4968405092573107,0.8397724514091561,0.6093249664299385,{'preprocess__continuous_pca__pca__n_components': 0.9},56,3,0.1
2,ols,pca,raw,57,3.4007108313511996,2.526435302120125,-0.2264838477426776,{'preprocess__continuous_pca__pca__n_components': 0.95},54,3,0.1
3,ols,pca,raw,53,1.446900901319393,1.1594793292449146,0.49502002718962335,{'preprocess__continuous_pca__pca__n_components': 0.95},52,3,0.1
4,ols,pca,raw,52,6.00065938028094,1.4946615829210363,0.04174706777965809,{'preprocess__continuous_pca__pca__n_components': 0.95},58,3,0.1
5,ols,pca,raw,31,1.5578859360129025,1.1979382937702143,0.2513689195575134,{'preprocess__continuous_pca__pca__n_components': 0.9},52,3,0.1
1,ridge,pca,raw,56,1.5311977503627618,0.8438238710387039,0.5911846757087647,"{'model__alpha': 1.0, 'preprocess__continuous_pca__pca__n_components': 0.9}",56,3,0.1
2,ridge,pca,raw,57,3.2435867780974275,2.453170764275366,-0.11576688213076136,"{'model__alpha': 10.0, 'preprocess__continuous_pca__pca__n_components': 0.95}",54,3,0.1
3,ridge,pca,raw,53,1.3828954755116487,0.974874247164456,0.5387086704084354,"{'model__alpha': 10.0, 'preprocess__continuous_pca__pca__n_components': 0.95}",52,3,0.1
4,ridge,pca,raw,52,6.00087815902563,1.4915312138779504,0.04167719239361689,"{'model__alpha': 0.1, 'preprocess__continuous_pca__pca__n_components': 0.95}",58,3,0.1
5,ridge,pca,raw,31,1.4995778332902143,1.149171560148726,0.30635930574979353,"{'model__alpha': 1.0, 'preprocess__continuous_pca__pca__n_components': 0.9}",52,3,0.1
1,dummy_mean,hybrid,raw,56,2.4023682342208,1.5339626726880873,-0.006337729320603058,{'preprocess__climate_pca__pca__n_components': 0.8},56,3,0.1
2,dummy_mean,hybrid,raw,57,3.0733516609576967,1.8023339107262475,-0.0017213640943944952,{'preprocess__climate_pca__pca__n_components': 0.8},54,3,0.1
3,dummy_mean,hybrid,raw,53,2.0806253705402464,1.6100935030693015,-0.04420161350231022,{'preprocess__climate_pca__pca__n_components': 0.8},52,3,0.1
4,dummy_mean,hybrid,raw,52,6.219719493771843,2.2443918172862647,-0.029493961480708375,{'preprocess__climate_pca__pca__n_components': 0.8},58,3,0.1
5,dummy_mean,hybrid,raw,31,1.8914823895774535,1.4401694757143861,-0.10357319821642519,{'preprocess__climate_pca__pca__n_components': 0.8},52,3,0.1
1,ols,hybrid,raw,56,1.5434145459332684,0.974769046100504,0.5846351135456058,{'preprocess__climate_pca__pca__n_components': 0.8},56,3,0.1
2,ols,hybrid,raw,57,3.174549452744664,2.448634715892763,-0.06877581446792758,{'preprocess__climate_pca__pca__n_components': 0.8},54,3,0.1
3,ols,hybrid,raw,53,1.9849581937019747,1.611467765384274,0.0496155785294512,{'preprocess__climate_pca__pca__n_components': 0.8},52,3,0.1
4,ols,hybrid,raw,52,6.574675359135491,3.009994815999882,-0.150352214611563,{'preprocess__climate_pca__pca__n_components': 0.8},58,3,0.1
5,ols,hybrid,raw,31,2.379484056633684,1.7584243650099276,-0.7464740559870284,{'preprocess__climate_pca__pca__n_components': 0.8},52,3,0.1
1,ridge,hybrid,raw,56,1.6242068924374868,1.0594704635760526,0.5400111545894863,"{'model__alpha': 1.0, 'preprocess__climate_pca__pca__n_components': 0.8}",56,3,0.1
2,ridge,hybrid,raw,57,3.0410961238453322,2.1835201486564766,0.019194891610201603,"{'model__alpha': 10.0, 'preprocess__climate_pca__pca__n_components': 0.95}",54,3,0.1
3,ridge,hybrid,raw,53,1.8853426815914833,1.412788878595764,0.14261243753415465,"{'model__alpha': 10.0, 'preprocess__climate_pca__pca__n_components': 0.8}",52,3,0.1
4,ridge,hybrid,raw,52,6.199712163125589,1.8654476785227547,-0.02288134892103999,"{'model__alpha': 10.0, 'preprocess__climate_pca__pca__n_components': 0.8}",58,3,0.1
5,ridge,hybrid,raw,31,2.158423042805962,1.475912302946552,-0.4370427158374228,"{'model__alpha': 10.0, 'preprocess__climate_pca__pca__n_components': 0.9}",52,3,0.1
1,dummy_mean,raw,crop_centered,56,1.570699725271968,0.7779673421032994,0.5698192844559498,{},56,3,0.1
2,dummy_mean,raw,crop_centered,57,2.4173360359926286,1.3439936538717503,0.38027862423372494,{},54,3,0.1
3,dummy_mean,raw,crop_centered,53,1.4882056180762058,0.9300198477908086,0.46577715031446865,{},52,3,0.1
4,dummy_mean,raw,crop_centered,52,6.1480164654491585,1.5647815308063504,-0.005894075254694542,{},58,3,0.1
