run_id,timestamp,git_commit,sample_size,number_of_unique_targets,n_features,feature_set,target,target_source,warnings,crop,representation
20260803T091827Z-90360b,2026-08-03T09:18:27.600806+00:00,c96611a,56,51,4,rainfall_only,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,raw
20260803T092954Z-62b69f,2026-08-03T09:29:54.719212+00:00,c96611a,56,51,4,rainfall_only,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,pca
20260803T093429Z-e25caa,2026-08-03T09:34:29.322936+00:00,c96611a,56,51,4,rainfall_only,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,hybrid
20260803T093654Z-8eb855,2026-08-03T09:36:54.683305+00:00,c96611a,56,51,9,climate,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,raw
20260803T094106Z-c57521,2026-08-03T09:41:06.190002+00:00,c96611a,56,51,9,climate,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,pca
20260803T094706Z-6d67a8,2026-08-03T09:47:06.696576+00:00,c96611a,56,51,9,climate,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,hybrid
20260803T095204Z-88b929,2026-08-03T09:52:04.941722+00:00,c96611a,56,51,14,climate_thermal,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,raw
20260803T095636Z-59f72e,2026-08-03T09:56:36.861456+00:00,c96611a,56,51,14,climate_thermal,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,pca
20260803T100144Z-603be2,2026-08-03T10:01:44.225288+00:00,2caad5a,56,51,14,climate_thermal,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,hybrid
20260803T100419Z-d586f5,2026-08-03T10:04:19.205534+00:00,2caad5a,56,51,34,full_agroecological,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,raw
20260803T100455Z-e321e1,2026-08-03T10:04:55.901499+00:00,2caad5a,56,51,34,full_agroecological,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,pca
20260803T100518Z-65b75b,2026-08-03T10:05:18.571009+00:00,2caad5a,56,51,34,full_agroecological,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",maize,hybrid
20260803T100538Z-635ccb,2026-08-03T10:05:38.568993+00:00,2caad5a,55,45,4,rainfall_only,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,raw
20260803T100616Z-422294,2026-08-03T10:06:16.647385+00:00,2caad5a,55,45,4,rainfall_only,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,pca
20260803T100643Z-4a2b7a,2026-08-03T10:06:43.816151+00:00,2caad5a,55,45,4,rainfall_only,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,hybrid
20260803T100711Z-449a5d,2026-08-03T10:07:11.226752+00:00,2caad5a,55,45,9,climate,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,raw
20260803T100849Z-0248a8,2026-08-03T10:08:49.058930+00:00,2caad5a,55,45,9,climate,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,pca
20260803T100912Z-9efd1f,2026-08-03T10:09:12.170416+00:00,2caad5a,55,45,9,climate,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,hybrid
20260803T100934Z-dec76f,2026-08-03T10:09:34.170275+00:00,2caad5a,55,45,14,climate_thermal,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,raw
20260803T100957Z-7568f8,2026-08-03T10:09:57.168067+00:00,2caad5a,55,45,14,climate_thermal,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,pca
20260803T101038Z-258126,2026-08-03T10:10:38.057290+00:00,2caad5a,55,45,14,climate_thermal,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,hybrid
20260803T101110Z-20a4dd,2026-08-03T10:11:10.248938+00:00,2caad5a,55,45,34,full_agroecological,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,raw
20260803T101142Z-d2c56d,2026-08-03T10:11:42.447188+00:00,2caad5a,55,45,34,full_agroecological,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,pca
20260803T101213Z-79e0c2,2026-08-03T10:12:13.766128+00:00,2caad5a,55,45,34,full_agroecological,yield_over_harvested,AAS2020_subregion,"sample_size=55 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",beans,hybrid
20260803T101241Z-64532c,2026-08-03T10:12:41.356911+00:00,2caad5a,56,47,4,rainfall_only,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,raw
20260803T101315Z-8ac441,2026-08-03T10:13:15.544558+00:00,2caad5a,56,47,4,rainfall_only,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,pca
20260803T101333Z-73fea9,2026-08-03T10:13:33.125187+00:00,2caad5a,56,47,4,rainfall_only,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,hybrid
20260803T101355Z-d8fad1,2026-08-03T10:13:55.095324+00:00,2caad5a,56,47,9,climate,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,raw
20260803T101419Z-c165bd,2026-08-03T10:14:19.938029+00:00,2caad5a,56,47,9,climate,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,pca
20260803T101442Z-aa35cc,2026-08-03T10:14:42.946806+00:00,2caad5a,56,47,9,climate,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,hybrid
20260803T101518Z-d84925,2026-08-03T10:15:18.018911+00:00,2caad5a,56,47,14,climate_thermal,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,raw
20260803T101539Z-9ac8d3,2026-08-03T10:15:39.440712+00:00,2caad5a,56,47,14,climate_thermal,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,pca
20260803T101602Z-a3dd09,2026-08-03T10:16:02.887526+00:00,2caad5a,56,47,14,climate_thermal,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,hybrid
20260803T101628Z-62807f,2026-08-03T10:16:28.913713+00:00,2caad5a,56,47,34,full_agroecological,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,raw
20260803T101659Z-6267ac,2026-08-03T10:16:59.937343+00:00,2caad5a,56,47,34,full_agroecological,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,pca
20260803T101723Z-590e46,2026-08-03T10:17:23.604494+00:00,2caad5a,56,47,34,full_agroecological,yield_over_harvested,AAS2020_subregion,"sample_size=56 < min_sample_size=100: metrics are demonstration-only, not evidence of generalization",groundnuts,hybrid
20260803T101741Z-bf114e,2026-08-03T10:17:41.942623+00:00,2caad5a,167,139,4,rainfall_only,yield_over_harvested,AAS2020_subregion,,pooled,raw
20260803T101813Z-e1d60a,2026-08-03T10:18:13.949786+00:00,2caad5a,167,139,4,rainfall_only,yield_over_harvested,AAS2020_subregion,,pooled,pca
20260803T101837Z-58142c,2026-08-03T10:18:37.087610+00:00,2caad5a,167,139,4,rainfall_only,yield_over_harvested,AAS2020_subregion,,pooled,hybrid
20260803T101907Z-5eb021,2026-08-03T10:19:07.300093+00:00,2caad5a,167,139,9,climate,yield_over_harvested,AAS2020_subregion,,pooled,raw
20260803T101939Z-3d3240,2026-08-03T10:19:39.318199+00:00,2caad5a,167,139,9,climate,yield_over_harvested,AAS2020_subregion,,pooled,pca
20260803T102009Z-ccc1ee,2026-08-03T10:20:09.026693+00:00,2caad5a,167,139,9,climate,yield_over_harvested,AAS2020_subregion,,pooled,hybrid
20260803T102030Z-b96180,2026-08-03T10:20:30.059812+00:00,2caad5a,167,139,14,climate_thermal,yield_over_harvested,AAS2020_subregion,,pooled,raw
20260803T102057Z-15a8d2,2026-08-03T10:20:57.684081+00:00,2caad5a,167,139,14,climate_thermal,yield_over_harvested,AAS2020_subregion,,pooled,pca
20260803T102135Z-471800,2026-08-03T10:21:35.911230+00:00,2caad5a,167,139,14,climate_thermal,yield_over_harvested,AAS2020_subregion,,pooled,hybrid
20260803T102221Z-002df9,2026-08-03T10:22:21.027328+00:00,e5f56f5,167,139,34,full_agroecological,yield_over_harvested,AAS2020_subregion,,pooled,raw
20260803T102300Z-c7c959,2026-08-03T10:23:00.283752+00:00,e5f56f5,167,139,34,full_agroecological,yield_over_harvested,AAS2020_subregion,,pooled,pca
20260803T102340Z-6d5e26,2026-08-03T10:23:40.994590+00:00,e5f56f5,167,139,34,full_agroecological,yield_over_harvested,AAS2020_subregion,,pooled,hybrid
