feature_space,model,feature,importance_mean,importance_std
raw,ridge,crop,1.0399423668763594,0.17166605470321444
raw,ridge,season,0.37166811542207745,0.04149158230930478
raw,ridge,heat_days_32c,0.34156769685413146,0.07291119200184082
raw,ridge,temperature_mean_c,0.276720208544606,0.09240565977272051
raw,ridge,temperature_maximum_c,0.2590018775464309,0.041515124846779425
raw,ridge,longest_dry_spell_days,0.1919795686143778,0.0809690836893922
raw,ridge,rainy_days_1mm,0.1510852699208849,0.05589581679644027
raw,ridge,maximum_5day_rainfall_mm,0.08978629368341555,0.018851357420019435
raw,ridge,growing_degree_days,0.04385961694897635,0.029532230095724483
raw,ridge,rain_total_mm,0.012067487993922788,0.011163235589201627
raw,ridge,heavy_rain_days_20mm,0.0011030398005065667,0.0005752300028641355
raw,ridge,wet_day_rainfall_cv,-0.01808202731248785,0.00995580124697663
