feature,pc1_loading,pc1_contribution_pct,explained_variance_ratio,retained_components_parallel,bootstrap_loading_mean_pc1,bootstrap_loading_ci_pc1
growing_degree_days,0.9564483495809922,17.905778898763067,0.5095231663644358,2,0.3553018616050266,"[0.317, 0.388]"
temperature_maximum_c,0.8894453389194612,15.484910532041296,0.5095231663644358,2,0.37704205890749437,"[0.348, 0.406]"
rainy_days_1mm,0.8555708908299611,14.327887852542359,0.5095231663644358,2,-0.014093976241893751,"[-0.081, 0.039]"
heat_days_32c,0.8366906514597988,13.702506173159042,0.5095231663644358,2,-0.11697406159569362,"[-0.197, -0.058]"
longest_dry_spell_days,0.8130869622381717,12.94029472503333,0.5095231663644358,2,0.356386411290727,"[0.314, 0.393]"
rain_total_mm,0.8089673705554372,12.809500146320874,0.5095231663644358,2,-0.1929510147264557,"[-0.246, -0.127]"
temperature_mean_c,0.6393818284158634,8.001856371087767,0.5095231663644358,2,0.28400625882425423,"[0.251, 0.313]"
wet_day_rainfall_cv,-0.4255104508640239,3.5439748859467803,0.5095231663644358,2,0.3937370812546366,"[0.378, 0.411]"
maximum_5day_rainfall_mm,-0.25514114651297093,1.2741811585631344,0.5095231663644358,2,0.421342895567604,"[0.407, 0.435]"
heavy_rain_days_20mm,-0.021572793183129664,0.009109256542365695,0.5095231663644358,2,0.367527653667845,"[0.324, 0.408]"
