feature,feature_available_by,prediction_horizon
bulk_density,pre_season,season_end_retrospective
bulk_density_sd,pre_season,season_end_retrospective
cation_exchange_capacity,pre_season,season_end_retrospective
cation_exchange_capacity_sd,pre_season,season_end_retrospective
clay_pct,pre_season,season_end_retrospective
clay_pct_sd,pre_season,season_end_retrospective
crop,pre_season,season_end_retrospective
growing_degree_days,season_end,season_end_retrospective
heat_days_32c,season_end,season_end_retrospective
heavy_rain_days_20mm,season_end,season_end_retrospective
longest_dry_spell_days,season_end,season_end_retrospective
maximum_5day_rainfall_mm,season_end,season_end_retrospective
rain_total_mm,season_end,season_end_retrospective
rainy_days_1mm,season_end,season_end_retrospective
sand_pct,pre_season,season_end_retrospective
sand_pct_sd,pre_season,season_end_retrospective
season,pre_season,season_end_retrospective
silt_pct,pre_season,season_end_retrospective
silt_pct_sd,pre_season,season_end_retrospective
soil_organic_carbon,pre_season,season_end_retrospective
soil_organic_carbon_sd,pre_season,season_end_retrospective
soil_ph,pre_season,season_end_retrospective
soil_ph_sd,pre_season,season_end_retrospective
temperature_maximum_c,season_end,season_end_retrospective
temperature_mean_c,season_end,season_end_retrospective
wet_day_rainfall_cv,season_end,season_end_retrospective
