fold,feature,importance_mean,importance_std,model,feature_space
1,rain_total_mm,0.0,0.0,dummy_mean,raw
1,rainy_days_1mm,0.0,0.0,dummy_mean,raw
1,heavy_rain_days_20mm,0.0,0.0,dummy_mean,raw
1,maximum_5day_rainfall_mm,0.0,0.0,dummy_mean,raw
1,longest_dry_spell_days,0.0,0.0,dummy_mean,raw
1,wet_day_rainfall_cv,0.0,0.0,dummy_mean,raw
1,temperature_mean_c,0.0,0.0,dummy_mean,raw
1,temperature_maximum_c,0.0,0.0,dummy_mean,raw
1,growing_degree_days,0.0,0.0,dummy_mean,raw
1,heat_days_32c,0.0,0.0,dummy_mean,raw
1,soil_ph,0.0,0.0,dummy_mean,raw
1,soil_organic_carbon,0.0,0.0,dummy_mean,raw
1,clay_pct,0.0,0.0,dummy_mean,raw
1,sand_pct,0.0,0.0,dummy_mean,raw
1,silt_pct,0.0,0.0,dummy_mean,raw
1,bulk_density,0.0,0.0,dummy_mean,raw
1,cation_exchange_capacity,0.0,0.0,dummy_mean,raw
1,soil_ph_sd,0.0,0.0,dummy_mean,raw
1,soil_organic_carbon_sd,0.0,0.0,dummy_mean,raw
1,clay_pct_sd,0.0,0.0,dummy_mean,raw
1,sand_pct_sd,0.0,0.0,dummy_mean,raw
1,silt_pct_sd,0.0,0.0,dummy_mean,raw
1,bulk_density_sd,0.0,0.0,dummy_mean,raw
1,cation_exchange_capacity_sd,0.0,0.0,dummy_mean,raw
1,season,0.0,0.0,dummy_mean,raw
1,crop,0.0,0.0,dummy_mean,raw
2,rain_total_mm,0.0,0.0,dummy_mean,raw
2,rainy_days_1mm,0.0,0.0,dummy_mean,raw
2,heavy_rain_days_20mm,0.0,0.0,dummy_mean,raw
2,maximum_5day_rainfall_mm,0.0,0.0,dummy_mean,raw
2,longest_dry_spell_days,0.0,0.0,dummy_mean,raw
2,wet_day_rainfall_cv,0.0,0.0,dummy_mean,raw
2,temperature_mean_c,0.0,0.0,dummy_mean,raw
2,temperature_maximum_c,0.0,0.0,dummy_mean,raw
2,growing_degree_days,0.0,0.0,dummy_mean,raw
2,heat_days_32c,0.0,0.0,dummy_mean,raw
2,soil_ph,0.0,0.0,dummy_mean,raw
2,soil_organic_carbon,0.0,0.0,dummy_mean,raw
2,clay_pct,0.0,0.0,dummy_mean,raw
2,sand_pct,0.0,0.0,dummy_mean,raw
2,silt_pct,0.0,0.0,dummy_mean,raw
2,bulk_density,0.0,0.0,dummy_mean,raw
2,cation_exchange_capacity,0.0,0.0,dummy_mean,raw
2,soil_ph_sd,0.0,0.0,dummy_mean,raw
