model,feature_space,target_scale,status,reason
dummy_mean,raw,raw,completed,
ols,raw,raw,completed,
ridge,raw,raw,completed,
dummy_mean,pca,raw,completed,
ols,pca,raw,completed,
ridge,pca,raw,completed,
dummy_mean,hybrid,raw,completed,
ols,hybrid,raw,completed,
ridge,hybrid,raw,completed,
dummy_mean,raw,crop_centered,completed,
ols,raw,crop_centered,completed,
ridge,raw,crop_centered,completed,
dummy_mean,pca,crop_centered,completed,
ols,pca,crop_centered,completed,
ridge,pca,crop_centered,completed,
dummy_mean,hybrid,crop_centered,completed,
ols,hybrid,crop_centered,completed,
ridge,hybrid,crop_centered,completed,
