model,feature_space,observations,rmse,mae,r2,skill_vs_mean_baseline,crop,target_scale,skill_vs_crop_mean
ridge,pca,373,2.6192633157614056,0.991811100020813,0.2558849209098759,0.2558849209098759,,,
ols,pca,373,2.621262674251525,1.010905815255716,0.25474847875520645,0.25474847875520656,,,
ridge,raw,373,2.8748663715012728,1.2711569986388283,0.10356849776844734,0.10356849776844745,,,
ridge,hybrid,373,2.8940130535523787,1.274538284101836,0.09158822319031035,0.09158822319031035,,,
dummy_mean,hybrid,373,3.045514496744009,1.52530015334963,-0.006011920157140693,-0.006011920157140471,,,
dummy_mean,pca,373,3.045514496744009,1.52530015334963,-0.006011920157140693,-0.006011920157140471,,,
dummy_mean,raw,373,3.045514496744009,1.52530015334963,-0.006011920157140693,-0.006011920157140471,,,
historical_subregion_crop_mean,baseline,373,3.045514496744009,1.52530015334963,-0.006011920157140693,-0.006011920157140471,,,
historical_subregion_mean,baseline,373,3.045514496744009,1.52530015334963,-0.006011920157140693,-0.006011920157140471,,,
previous_wave_yield,baseline,373,3.045514496744009,1.52530015334963,-0.006011920157140693,-0.006011920157140471,,,
ols,hybrid,373,3.778185260807097,2.231050680430699,-0.548275649135259,-0.5482756491352587,,,
ols,raw,373,4.158936233539821,2.8214008095921814,-0.8760582026312047,-0.8760582026312045,,,
dummy_mean,hybrid,41,1.0721634070963912,1.0400648517491335,-18.340177470433005,,beans,raw,
dummy_mean,hybrid,42,1.2222706746447158,1.2068942872098356,-50.437465521663704,,groundnuts,raw,
dummy_mean,hybrid,24,3.244015079341367,2.5992675513348495,-1.742253684579012,,irish_potatoes,raw,
dummy_mean,hybrid,42,1.3137407698458765,0.8543854831280561,-0.19698481696888814,,maize,raw,
dummy_mean,hybrid,39,1.2375644613804924,1.1929934119247998,-11.38880216131654,,millet,raw,
dummy_mean,hybrid,36,0.9078633361976151,0.6766233977779607,-0.17491679029320184,,rice,raw,
dummy_mean,hybrid,30,1.4172713448676775,1.3992697408867092,-39.57222916694421,,simsim,raw,
dummy_mean,hybrid,41,1.1304647790671787,1.0508270930786212,-0.5914638609651848,,sorghum,raw,
dummy_mean,hybrid,38,7.024670714428799,2.257813929226842,-0.006408830684933031,,soya_beans,raw,
dummy_mean,hybrid,40,4.8669687140316675,3.389850223823778,-0.9344947724407524,,sweet_potatoes,raw,
dummy_mean,pca,41,1.0721634070963912,1.0400648517491335,-18.340177470433005,,beans,raw,
dummy_mean,pca,42,1.2222706746447158,1.2068942872098356,-50.437465521663704,,groundnuts,raw,
dummy_mean,pca,24,3.244015079341367,2.5992675513348495,-1.742253684579012,,irish_potatoes,raw,
dummy_mean,pca,42,1.3137407698458765,0.8543854831280561,-0.19698481696888814,,maize,raw,
dummy_mean,pca,39,1.2375644613804924,1.1929934119247998,-11.38880216131654,,millet,raw,
dummy_mean,pca,36,0.9078633361976151,0.6766233977779607,-0.17491679029320184,,rice,raw,
dummy_mean,pca,30,1.4172713448676775,1.3992697408867092,-39.57222916694421,,simsim,raw,
dummy_mean,pca,41,1.1304647790671787,1.0508270930786212,-0.5914638609651848,,sorghum,raw,
dummy_mean,pca,38,7.024670714428799,2.257813929226842,-0.006408830684933031,,soya_beans,raw,
dummy_mean,pca,40,4.8669687140316675,3.389850223823778,-0.9344947724407524,,sweet_potatoes,raw,
dummy_mean,raw,41,1.0721634070963912,1.0400648517491335,-18.340177470433005,,beans,raw,
dummy_mean,raw,42,1.2222706746447158,1.2068942872098356,-50.437465521663704,,groundnuts,raw,
dummy_mean,raw,24,3.244015079341367,2.5992675513348495,-1.742253684579012,,irish_potatoes,raw,
dummy_mean,raw,42,1.3137407698458765,0.8543854831280561,-0.19698481696888814,,maize,raw,
dummy_mean,raw,39,1.2375644613804924,1.1929934119247998,-11.38880216131654,,millet,raw,
dummy_mean,raw,36,0.9078633361976151,0.6766233977779607,-0.17491679029320184,,rice,raw,
dummy_mean,raw,30,1.4172713448676775,1.3992697408867092,-39.57222916694421,,simsim,raw,
dummy_mean,raw,41,1.1304647790671787,1.0508270930786212,-0.5914638609651848,,sorghum,raw,
dummy_mean,raw,38,7.024670714428799,2.257813929226842,-0.006408830684933031,,soya_beans,raw,
dummy_mean,raw,40,4.8669687140316675,3.389850223823778,-0.9344947724407524,,sweet_potatoes,raw,
historical_subregion_crop_mean,baseline,41,1.0721634070963912,1.0400648517491335,-18.340177470433005,,beans,raw,
historical_subregion_crop_mean,baseline,42,1.2222706746447158,1.2068942872098356,-50.437465521663704,,groundnuts,raw,
historical_subregion_crop_mean,baseline,24,3.244015079341367,2.5992675513348495,-1.742253684579012,,irish_potatoes,raw,
historical_subregion_crop_mean,baseline,42,1.3137407698458765,0.8543854831280561,-0.19698481696888814,,maize,raw,
historical_subregion_crop_mean,baseline,39,1.2375644613804924,1.1929934119247998,-11.38880216131654,,millet,raw,
historical_subregion_crop_mean,baseline,36,0.9078633361976151,0.6766233977779607,-0.17491679029320184,,rice,raw,
historical_subregion_crop_mean,baseline,30,1.4172713448676775,1.3992697408867092,-39.57222916694421,,simsim,raw,
historical_subregion_crop_mean,baseline,41,1.1304647790671787,1.0508270930786212,-0.5914638609651848,,sorghum,raw,
historical_subregion_crop_mean,baseline,38,7.024670714428799,2.257813929226842,-0.006408830684933031,,soya_beans,raw,
historical_subregion_crop_mean,baseline,40,4.8669687140316675,3.389850223823778,-0.9344947724407524,,sweet_potatoes,raw,
historical_subregion_mean,baseline,41,1.0721634070963912,1.0400648517491335,-18.340177470433005,,beans,raw,
historical_subregion_mean,baseline,42,1.2222706746447158,1.2068942872098356,-50.437465521663704,,groundnuts,raw,
historical_subregion_mean,baseline,24,3.244015079341367,2.5992675513348495,-1.742253684579012,,irish_potatoes,raw,
historical_subregion_mean,baseline,42,1.3137407698458765,0.8543854831280561,-0.19698481696888814,,maize,raw,
historical_subregion_mean,baseline,39,1.2375644613804924,1.1929934119247998,-11.38880216131654,,millet,raw,
historical_subregion_mean,baseline,36,0.9078633361976151,0.6766233977779607,-0.17491679029320184,,rice,raw,
historical_subregion_mean,baseline,30,1.4172713448676775,1.3992697408867092,-39.57222916694421,,simsim,raw,
historical_subregion_mean,baseline,41,1.1304647790671787,1.0508270930786212,-0.5914638609651848,,sorghum,raw,
historical_subregion_mean,baseline,38,7.024670714428799,2.257813929226842,-0.006408830684933031,,soya_beans,raw,
historical_subregion_mean,baseline,40,4.8669687140316675,3.389850223823778,-0.9344947724407524,,sweet_potatoes,raw,
ols,hybrid,41,2.5177252455158823,1.8660545791567864,-105.64860101491658,,beans,raw,
ols,hybrid,42,2.619558340572072,1.9610059866049778,-235.26583616911697,,groundnuts,raw,
ols,hybrid,24,3.7921464950504515,2.6930600537162803,-2.747245206092815,,irish_potatoes,raw,
ols,hybrid,42,2.445476007494239,1.7898898500236828,-3.14759267510353,,maize,raw,
ols,hybrid,39,2.7863794278468736,2.045518958459271,-61.80210040530244,,millet,raw,
ols,hybrid,36,2.873555200716663,2.122325526719612,-10.770780025623505,,rice,raw,
ols,hybrid,30,2.405128772917706,1.6565444116722066,-115.84214596719843,,simsim,raw,
ols,hybrid,41,2.523384970695562,1.8438066468167629,-6.929571753554207,,sorghum,raw,
ols,hybrid,38,8.08890175414602,3.4353350983131694,-0.3344478845635306,,soya_beans,raw,
ols,hybrid,40,4.059047970726745,3.0372125670064163,-0.34554683590973956,,sweet_potatoes,raw,
ols,pca,41,0.6022765403561026,0.5089383177948495,-5.10281756656595,,beans,raw,
ols,pca,42,0.7204980338027375,0.6203232977253254,-16.873531798233167,,groundnuts,raw,
ols,pca,24,1.8629689196949824,1.4710057625890223,0.09561548195531366,,irish_potatoes,raw,
ols,pca,42,0.9294064950680553,0.624017704978988,0.4009256950929867,,maize,raw,
ols,pca,39,0.7465960855329646,0.6333883426492104,-3.508842612968203,,millet,raw,
ols,pca,36,1.1699890618184627,0.8131607189648413,-0.9513256714565712,,rice,raw,
ols,pca,30,0.7105141436406859,0.5404473862925474,-9.196903564258383,,simsim,raw,
ols,pca,41,0.7229104016322546,0.5413816112897779,0.34919383767203993,,sorghum,raw,
ols,pca,38,7.111943316119744,2.4673685334277686,-0.03157086903699535,,soya_beans,raw,
ols,pca,40,3.0700961589091182,2.0622233619277384,0.23024165107992967,,sweet_potatoes,raw,
ols,raw,41,3.113933964760153,2.4867999969493733,-162.13881021328436,,beans,raw,
ols,raw,42,3.104208786159826,2.488553701118786,-330.7772666831213,,groundnuts,raw,
ols,raw,24,3.9939284961656756,3.2021825179339203,-3.1566405575471626,,irish_potatoes,raw,
ols,raw,42,2.9053970584482425,2.4331903615354435,-4.854371408632176,,maize,raw,
ols,raw,39,3.17374806107734,2.556524678723413,-80.47766153763222,,millet,raw,
ols,raw,36,3.477130045078572,2.7941211019532175,-16.234870411305188,,rice,raw,
ols,raw,30,3.234273662227074,2.4794360439443337,-210.28875562964697,,simsim,raw,
ols,raw,41,2.945770935739663,2.3696573972937034,-9.80639044689483,,sorghum,raw,
ols,raw,38,8.28282988472977,4.089431594838535,-0.3992005909083469,,soya_beans,raw,
ols,raw,40,4.492643677006454,3.4906953422325686,-0.6483688595111219,,sweet_potatoes,raw,
previous_wave_yield,baseline,41,1.0721634070963912,1.0400648517491335,-18.340177470433005,,beans,raw,
previous_wave_yield,baseline,42,1.2222706746447158,1.2068942872098356,-50.437465521663704,,groundnuts,raw,
previous_wave_yield,baseline,24,3.244015079341367,2.5992675513348495,-1.742253684579012,,irish_potatoes,raw,
previous_wave_yield,baseline,42,1.3137407698458765,0.8543854831280561,-0.19698481696888814,,maize,raw,
previous_wave_yield,baseline,39,1.2375644613804924,1.1929934119247998,-11.38880216131654,,millet,raw,
previous_wave_yield,baseline,36,0.9078633361976151,0.6766233977779607,-0.17491679029320184,,rice,raw,
previous_wave_yield,baseline,30,1.4172713448676775,1.3992697408867092,-39.57222916694421,,simsim,raw,
previous_wave_yield,baseline,41,1.1304647790671787,1.0508270930786212,-0.5914638609651848,,sorghum,raw,
previous_wave_yield,baseline,38,7.024670714428799,2.257813929226842,-0.006408830684933031,,soya_beans,raw,
previous_wave_yield,baseline,40,4.8669687140316675,3.389850223823778,-0.9344947724407524,,sweet_potatoes,raw,
ridge,hybrid,41,1.2287673479893986,1.0156529784586559,-24.402579445531305,,beans,raw,
ridge,hybrid,42,1.0961708824102168,0.8762763106871347,-40.3715031853049,,groundnuts,raw,
ridge,hybrid,24,2.7014116518944347,2.13796208080638,-0.9016186918039315,,irish_potatoes,raw,
ridge,hybrid,42,1.1182882584965128,0.7247263200903455,0.13268508235837106,,maize,raw,
ridge,hybrid,39,1.1066097202854381,0.8750862095953281,-8.905641819882753,,millet,raw,
ridge,hybrid,36,1.2318124064981744,0.8842075786271217,-1.162993940328974,,rice,raw,
ridge,hybrid,30,1.137404994160644,0.95690364505928,-25.13082483512802,,simsim,raw,
ridge,hybrid,41,1.0257562939150966,0.789867229284818,-0.3103010530343222,,sorghum,raw,
ridge,hybrid,38,7.105813588871156,2.274257396402529,-0.029793429930609516,,soya_beans,raw,
ridge,hybrid,40,4.125835759964193,2.5433631400156615,-0.3901905207834697,,sweet_potatoes,raw,
ridge,pca,41,0.6373090903784118,0.48268681056999174,-5.833429527217591,,beans,raw,
ridge,pca,42,0.7045806070404033,0.6148108150174304,-16.0925220249402,,groundnuts,raw,
ridge,pca,24,1.8745334086022813,1.4609568396747923,0.08435259264802653,,irish_potatoes,raw,
ridge,pca,42,0.9354455875939881,0.6011542172650491,0.39311507778207877,,maize,raw,
ridge,pca,39,0.7148802707671663,0.6215693734654855,-3.133903001234681,,millet,raw,
ridge,pca,36,1.1300896328084138,0.7901867092505416,-0.8205052539483779,,rice,raw,
ridge,pca,30,0.7150175975865343,0.5438543817475895,-9.326575344942535,,simsim,raw,
ridge,pca,41,0.7181851046073134,0.5434280087818057,0.357674008206332,,sorghum,raw,
