feature,pc1_loading,pc1_contribution_pct,explained_variance_ratio,retained_components_parallel,bootstrap_loading_mean_pc1,bootstrap_loading_ci_pc1
growing_degree_days,0.9706326242688796,18.119935601315873,0.5075603466994674,2,0.3593731658221575,"[0.227, 0.475]"
temperature_maximum_c,0.8973324241054763,15.486511612465744,0.5075603466994674,2,0.37089301224270116,"[0.292, 0.460]"
rainy_days_1mm,0.8603350320011808,14.235807134005762,0.5075603466994674,2,0.03749707350185239,"[-0.197, 0.297]"
heat_days_32c,0.8523436005389031,13.972569887387385,0.5075603466994674,2,-0.09091497438641738,"[-0.382, 0.091]"
rain_total_mm,0.8310502081772099,13.283160070615985,0.5075603466994674,2,0.34739256098133864,"[0.203, 0.444]"
longest_dry_spell_days,0.8261471484438005,13.12688550619447,0.5075603466994674,2,-0.16695313387341673,"[-0.367, 0.011]"
temperature_mean_c,0.6388774460622018,7.850223010725103,0.5075603466994674,2,0.2662817071087232,"[0.079, 0.380]"
wet_day_rainfall_cv,-0.39060348031634984,2.93439854136716,0.5075603466994674,2,0.3821228863568303,"[0.296, 0.431]"
maximum_5day_rainfall_mm,-0.2185645737091566,0.9187691862152696,0.5075603466994674,2,0.41540027058654594,"[0.340, 0.452]"
heavy_rain_days_20mm,0.06107388964573342,0.07173944970723915,0.5075603466994674,2,0.3536313925134458,"[0.224, 0.468]"
