component,explained_variance_ratio,cumulative_explained_variance,eigenvalue
PC1,0.5963841517551765,0.5963841517551765,16.468335099603173
PC2,0.15014096440208183,0.7465251161572583,4.145937994284761
PC3,0.08461374031729972,0.831138856474558,2.336493056489073
PC4,0.04382842329507256,0.8749672797696305,1.2102621432616631
PC5,0.031458403517032794,0.9064256832866633,0.8686809152998832
PC6,0.019947823554062268,0.9263735068407255,0.550831945867856
PC7,0.016414549433924945,0.9427880562746505,0.4532653991413367
PC8,0.012065129463297533,0.954853185737948,0.33316209767969335
PC9,0.010690110328662338,0.9655432960666103,0.29519281930283514
PC10,0.006980789803546461,0.9725240858701567,0.1927649911661126
PC11,0.006711769653346052,0.9792358555235028,0.18533636656398764
PC12,0.004554750031278589,0.9837906055547814,0.12577321109098835
PC13,0.004110797707531275,0.9879014032623127,0.11351407306023865
PC14,0.003379468570359323,0.991280871832672,0.09331941620424043
PC15,0.003103522661714577,0.9943843944943865,0.08569954622689119
PC16,0.0023987121948258676,0.9967831066892124,0.06623716628894159
PC17,0.0015320152203087013,0.9983151219095211,0.04230451119716074
PC18,0.0013655902714098892,0.999680712180931,0.037708913176432185
PC19,0.0002973505187572844,0.9999780626996883,0.008210929097502288
PC20,2.1029396277541304e-05,0.9999990920959658,0.000580698101754834
PC21,3.833572839081396e-07,0.9999994754532497,1.0585888635190677e-05
PC22,3.182608775667487e-07,0.9999997937141273,8.788340141899995e-06
PC23,2.062858725454915e-07,0.9999999999999998,5.696303071426643e-06
PC24,5.560064214255575e-32,0.9999999999999998,1.5353359137092104e-30
PC25,1.6045811795425473e-32,0.9999999999999998,4.430832120782263e-31
PC26,1.4950140520863594e-32,0.9999999999999998,4.128277439283926e-31
PC27,4.403865848396394e-33,0.9999999999999998,1.2160675013185501e-31
PC28,4.403865848396394e-33,0.9999999999999998,1.2160675013185501e-31
PC29,4.403865848396394e-33,0.9999999999999998,1.2160675013185501e-31
PC30,4.403865848396394e-33,0.9999999999999998,1.2160675013185501e-31
PC31,4.403865848396394e-33,0.9999999999999998,1.2160675013185501e-31
PC32,4.403865848396394e-33,0.9999999999999998,1.2160675013185501e-31
PC33,4.403865848396394e-33,0.9999999999999998,1.2160675013185501e-31
PC34,4.403865848396394e-33,0.9999999999999998,1.2160675013185501e-31
PC35,4.403865848396394e-33,0.9999999999999998,1.2160675013185501e-31
PC36,4.403865848396394e-33,0.9999999999999998,1.2160675013185501e-31
PC37,3.132254341376547e-33,0.9999999999999998,8.649293238119332e-32
