feature,0,1,2,3,4,5,6,7,8,9,10,11,12,pc1_ci_lower,pc1_ci_upper,pc2_ci_lower,pc2_ci_upper,pc3_ci_lower,pc3_ci_upper,pc4_ci_lower,pc4_ci_upper,pc5_ci_lower,pc5_ci_upper,pc6_ci_lower,pc6_ci_upper,pc7_ci_lower,pc7_ci_upper,pc8_ci_lower,pc8_ci_upper,pc9_ci_lower,pc9_ci_upper,pc10_ci_lower,pc10_ci_upper,pc11_ci_lower,pc11_ci_upper,pc12_ci_lower,pc12_ci_upper,pc13_ci_lower,pc13_ci_upper
MAM,-0.7474988473264325,0.027688053749114563,-0.45712440236910545,0.41792104463110435,-0.11065440170274979,0.08366065342177041,0.034878317481640234,-0.0034945357778625227,0.06388942081616031,-0.05430562123268604,0.04432175190864266,-0.04505201444987192,0.08057454447811291,-0.7739517746408869,0.7748892914324305,-0.15904020515763306,0.16055639660103888,-0.510526689369985,0.506522842603679,-0.47930209110855826,0.4709876582384089,-0.17355757284961787,0.1741959785155512,-0.1218036601777157,0.12330081528114221,-0.06823409909627094,0.06893134224734827,-0.04079754441497615,0.04802433954499538,-0.08886189161912322,0.0912883471625123,-0.08556294797226567,0.08797223579268487,-0.08211975891569268,0.08464832568414614,-0.06775471015156503,0.07546464467745483,-0.09516453883002303,0.09296160778328874
SON,-0.7312031770623005,0.06358922169083839,0.3859436881773432,-0.2788038982124546,0.005487877948793686,-0.3134540450520568,0.26798209093897657,0.08743512093443766,0.12210087127076641,0.09421446444118317,-0.03614208708690066,-0.0354373980441762,-0.0659612627372492,-0.7702110122031939,0.7672144471787217,-0.15572760599236662,0.1725928078163599,-0.45138598193465795,0.46386817954688025,-0.3200508812398968,0.32456184209785677,-0.11781175142226374,0.11006257985270629,-0.38476614027977224,0.3809965337067195,-0.324303615810999,0.33375392695251727,-0.15173899256837808,0.14402115358707,-0.16280176430387117,0.16355775062553354,-0.13686794506920608,0.14360677136993205,-0.10203788969464274,0.09614047480114947,-0.07162752419847775,0.070716161279259,-0.0903147372812624,0.09596882157057242
DJF,-0.3999324759479658,0.6261970295222198,-0.009863707147669556,-0.046884932531149934,0.3017624619318241,0.5051436889706502,0.05497338559314197,0.014624560366268463,0.056626026656824376,0.18100511124615323,-0.008122186284312173,-0.10280404843134675,-0.07569007565587856,-0.46572785697948166,0.46770780796257966,-0.6639872014314192,0.6721326278028595,-0.1569076400949044,0.16295811726163378,-0.1442858880261353,0.147429477799735,-0.41456811978455654,0.43786559806513736,-0.554429890113123,0.5480077921055487,-0.1676881033154923,0.17332779190256953,-0.07646245476794927,0.07590783468683074,-0.13089363350142133,0.15185215218516188,-0.20411643706677146,0.20574079763018002,-0.1696793234750269,0.16722665571020726,-0.14530288834109106,0.15065333870081118,-0.12248251184632847,0.11998541076560665
JJA,-0.506245927231566,-0.6871792673446476,0.23790448769606512,-0.06866255911706783,-0.08336757893153557,-0.029466921780087658,-0.31573570704050596,-0.04855825347688183,-0.20962567534440532,-0.1123334202171381,-0.007770418963122977,0.027518405832444214,-0.05520678024075623,-0.5619703976802707,0.5627785016232001,-0.7462008436929137,0.736394046330925,-0.385335380306306,0.36618932955523087,-0.1222851944252828,0.12665426223728607,-0.14215820725926698,0.14409231910638998,-0.11560412071280386,0.11861303530928727,-0.3426677802821865,0.34855965373098763,-0.1317785896669262,0.1447017345357767,-0.24529527955009076,0.24320892723203535,-0.17585881202030135,0.16578041910766766,-0.10824581725015293,0.11160185057688017,-0.06986191540729006,0.0697065000612057,-0.09077279737399979,0.09556908629817971
annual_rainfall,-0.983583913237892,-0.09647821154940821,0.07916371370907502,0.012152310924678554,0.0058566653656295055,0.03738319937447993,-0.0018853558469939511,0.0175158652707933,-0.001864723065953347,0.018358528870226508,-0.0026782699144881623,-0.05180650648855955,-0.042182322441557125,-0.9878214007433749,0.9877212507567168,-0.14948903251453888,0.1407592062376837,-0.11762238581838047,0.11430616017155368,-0.03200110129152346,0.03030150091937389,-0.021605776409950764,0.02527965624512068,-0.05068410632335826,0.049241945268062914,-0.015987738153166838,0.01656144510008661,-0.030078179970811723,0.030689157458152854,-0.020481034886288926,0.02118164468409418,-0.033246873000346296,0.03297083618923946,-0.04136962681203443,0.0445790079142275,-0.06149566614740705,0.06246510366500674,-0.051709048703348026,0.05297356223310884
rain_cv,0.16402624706149144,-0.3994301767255489,-0.5363827753671886,-0.13790581124416101,-0.2532482921420529,-0.1415389439721088,0.27736379091539,0.04612785693837571,0.2978005997129363,-0.14959383310935462,-0.024270839882673034,-0.10176892271866259,0.03787165397023985,-0.22960297823349413,0.22601719442033388,-0.5305268915490822,0.5217602074837183,-0.6133630648228369,0.6118865588710501,-0.22056359802550476,0.2216978877930921,-0.3423525802351828,0.3343086146068316,-0.2457841063143999,0.24065078711667542,-0.3386188658347523,0.3371159907473507,-0.17099298917521766,0.17896777036412373,-0.34052607632728543,0.3449206478847997,-0.2575125508203066,0.2703105802719225,-0.16676720730471103,0.1601993376181319,-0.1645377581318977,0.1633095940773964,-0.0972711077529342,0.1082547651316136
max_monthly,-0.8235896532133169,-0.1725980721194838,-0.19239929212452295,-0.06806510122438073,-0.020350641342021032,0.04560704980115343,0.1791180344150275,0.02941348176367983,0.17806564778132078,-0.0679395826133551,-0.0359702783956775,-0.12904169357948048,0.1498311322392983,-0.84666093172838,0.8498020903969077,-0.2572981901524173,0.2380497871091477,-0.23627731762534743,0.2437429738195433,-0.10887502628215662,0.11020036351449858,-0.08686737964766096,0.084329298327072,-0.10206767243885685,0.10655824443298673,-0.21351848813838284,0.21308700985314957,-0.12024968523018921,0.10777745363832991,-0.2141219577118776,0.2193053278869035,-0.15343143590443495,0.158515872324255,-0.13006603325151855,0.13189833063891257,-0.16617469023579087,0.17553354723956427,-0.18093924630682198,0.17802502536446502
min_monthly,-0.4655646262296633,0.3360837227226389,0.10202349011604472,0.0843122819472603,0.30615470789020816,0.20959064523014972,0.05214892069887433,-0.12220909254108511,-0.07064282286355897,0.1532483331162161,-0.044262733226016,0.06792582137769357,0.43826360375897216,-0.5240398210824496,0.518305519615339,-0.38616242836400655,0.38917858135128247,-0.18192280607123712,0.195239621852661,-0.16359952219056267,0.16429631931386823,-0.3678992502916175,0.3770814228181056,-0.280807697477324,0.2875484384444252,-0.1283965698894114,0.1359263019659603,-0.20112716750411422,0.19086182754673592,-0.1575439808008105,0.15472282936392207,-0.20616515468779908,0.2031992427541365,-0.16177240722068237,0.16910168392905742,-0.16596050453802694,0.1756383486672696,-0.5019961909992294,0.49670069872580763
rainy_months,-0.6304567261687304,0.14858389408339162,0.23635012738750405,0.15288905006006911,0.2627515640346078,0.23894609555153642,-0.08776317248558468,-0.059555117796171994,-0.1257413829459623,0.017275478195661113,-0.05712818686305283,-0.059158036009958476,0.23753415913937262,-0.6651136808794584,0.6654674973110896,-0.22092749217564428,0.22217675348719954,-0.2873889192570069,0.28660615213677754,-0.22259301748553292,0.22654104560733915,-0.32147784772600835,0.3267287799324853,-0.3088481523133279,0.311185753695934,-0.14577563156998338,0.15348523588116347,-0.12077910971626533,0.13229680442671618,-0.17211042453552983,0.1688082268973577,-0.1136771824063098,0.11257800850218957,-0.10789110751375904,0.11964327387467275,-0.12526427803256593,0.11955988719435481,-0.2725106338473258,0.273631964464695
clim_annual_mean,-0.7351723883820338,-0.2705283373430422,0.0011354310684964129,0.30738076262612735,0.4679805371150597,-0.18038700072316147,-0.052390994318966176,0.016252077034271475,0.024163353346367083,-0.0049277708862668365,-0.07157282438034097,-0.06850672418355837,-0.055149343803591835,-0.7725879598602983,0.77027933629585,-0.33046065747126824,0.33071290326796277,-0.11797121954347471,0.10871805897201316,-0.41667596704340626,0.41759220064489155,-0.5279554916398392,0.5232878720055931,-0.28171565873316706,0.2690440586832726,-0.1204523432949421,0.10810885306926364,-0.04860573901019154,0.05050060186789536,-0.0578155322311177,0.058765580317455005,-0.07381461326532109,0.06959928592090232,-0.09964567906400748,0.10166197098377877,-0.09584756098520988,0.09776127086394981,-0.07233397144044501,0.07692578234251732
