component,eigenvalue_correlation,eigenvalue_covariance,variance_explained,cumulative_variance,parallel_analysis_95th,boot_ci_lower,boot_ci_upper,keep_correlation_0.85,keep_kaiser_gt_1,keep_parallel_analysis
1,15.995938269721263,237877.16148190826,0.24584985519100533,0.24584985519100533,1.576027163358676,15.175577170831716,16.979919663690943,True,True,True
2,9.293377555910505,116046.05818499913,0.1428347301565168,0.38868458534752215,1.5260712593846553,8.859346406854677,9.834641210009531,True,True,True
3,7.679650220764235,48585.41096530322,0.11803251943440761,0.5067171047819298,1.4846920940868573,7.182755053968562,8.206385864278829,True,True,True
4,5.060527328039987,34864.86358142924,0.07777786396836574,0.5844949687502955,1.4531605856356355,4.639373398918235,5.528242152471399,True,True,True
5,3.7850902872626144,22639.248949886423,0.05817501188847799,0.6426699806387735,1.4289688858469474,3.4924413671974257,4.1022058343517624,True,True,True
6,3.0149246124768108,11977.717575019726,0.04633793697443032,0.6890079176132038,1.402186129854506,2.829661959154817,3.2499486406451994,True,True,True
7,2.429234121105806,5064.861329998491,0.037336156643552644,0.7263440742567564,1.384008366143963,2.2657153308678932,2.615840692525774,True,True,True
8,1.825404027723158,3913.795496985882,0.028055579379816925,0.7543996536365734,1.3648746530009903,1.7053633108005992,1.949802420689989,True,True,True
9,1.5740537377064043,3587.860587364951,0.024192446666945255,0.7785921003035186,1.3433239694556636,1.4811976211396527,1.6938226796420308,True,True,True
10,1.3857706514793853,1599.3399735287192,0.021298626454382328,0.7998907267579008,1.3221306101543862,1.3149305836689227,1.4920350439351735,True,True,True
11,1.294356930900098,1368.4696114208778,0.01989364166462292,0.8197843684225238,1.3049514427621551,1.2035402051474255,1.379029930471377,True,True,False
12,1.1750538769496588,1000.6439105262355,0.018060011274020564,0.8378443796965444,1.2879474278335827,1.0678795398709682,1.2432892470575962,True,True,False
13,0.8709126631827816,908.5084683755698,0.013385507528045161,0.8512298872245895,1.2676529453418037,0.8144776655216035,0.9570103586137005,True,False,False
14,0.7769438867810927,859.1568492784825,0.011941252762786321,0.8631711399873758,1.252031337628118,0.7475147076104606,0.8569398106687353,False,False,False
15,0.7676885318694178,742.3781327781123,0.011799002422330595,0.8749701424097064,1.2347229898069871,0.7036767260231391,0.8042214590899208,False,False,False
16,0.686150077924807,376.9109242409165,0.010545795717180543,0.8855159381268869,1.2227773532375557,0.6399112967290563,0.7300465934670005,False,False,False
17,0.6282087953847887,284.99810038193243,0.009655266153872041,0.8951712042807589,1.2067564463803855,0.5842543785592011,0.6785944366351634,False,False,False
18,0.5959507170055413,267.2041607141145,0.009159475049620907,0.9043306793303798,1.1906786467893118,0.534192169079659,0.6299422307183961,False,False,False
19,0.5158393943578813,169.16331972879854,0.007928202664094858,0.9122588819944747,1.1754468283355857,0.48439015460132756,0.5613434886785493,False,False,False
20,0.49117583168984635,158.04369914635524,0.007549135602932942,0.9198080175974076,1.1612112102249095,0.45470872670421547,0.5169952798220643,False,False,False
21,0.46101033729257834,133.54468617978574,0.007085506505078049,0.9268935241024856,1.1487919160896471,0.4207202865317881,0.4818620410098473,False,False,False
22,0.42286205060982196,115.27925012975909,0.006499185740481597,0.9333927098429672,1.1349565061547855,0.38940611922331564,0.44918393508291504,False,False,False
23,0.3893289528189176,90.9779354166152,0.005983798202908703,0.9393765080458759,1.1189252598246189,0.35793168271750786,0.4149307979119602,False,False,False
24,0.3660200956341221,75.14209356333653,0.0056255523115503305,0.9450020603574263,1.1067953629724512,0.33397526925500354,0.381230968225538,False,False,False
25,0.336542273300801,53.14251359717253,0.005172492401603612,0.95017455275903,1.095263646054871,0.3110556192823462,0.3561711475047291,False,False,False
26,0.32508882445522697,44.425602716081734,0.004996458417685829,0.9551710111767158,1.0807282227319461,0.2880795701941398,0.33063961901408306,False,False,False
27,0.28340467581801426,41.54343574852618,0.004355793160455022,0.9595268043371707,1.065086429724742,0.25948203096705963,0.30020155345871363,False,False,False
28,0.2576510120007765,30.892632758464508,0.003959971770465621,0.9634867761076363,1.053175012361266,0.23931663376224857,0.27642780626824665,False,False,False
29,0.24773577097963767,24.250065795891114,0.003807579298818918,0.9672943554064553,1.0410782203731392,0.22576386566545278,0.257644433392352,False,False,False
30,0.23924360805908185,19.64181290344494,0.003677058851123201,0.9709714142575785,1.0295704157122278,0.2104162835491629,0.24262586650364448,False,False,False
31,0.21615471554724594,16.11849456441734,0.003322193710683117,0.9742936079682616,1.0172944832809603,0.19656041233080904,0.22451824036796597,False,False,False
32,0.21435530056021707,14.277539126515862,0.0032945375703223503,0.977588145538584,1.003297363740481,0.18478373215805,0.21371098989615667,False,False,False
33,0.19707162987258656,9.58855815974427,0.003028895889035903,0.9806170414276199,0.9902079409629623,0.17235536921097655,0.19720024428955488,False,False,False
34,0.1805868581874046,8.515246465436217,0.0027755329000494875,0.9833925743276694,0.9803170955746456,0.15389107837647348,0.18299868109404474,False,False,False
35,0.1531335906181934,6.985355728239124,0.0023535894202358393,0.9857461637479052,0.9681028626281114,0.1359144562882708,0.16248435642868753,False,False,False
36,0.14534652964224715,4.035167976592307,0.002233906049306372,0.9879800697972116,0.9557867995877006,0.12267358361349864,0.14767422546693665,False,False,False
37,0.11176869775966507,2.017925030265458,0.0017178309703229258,0.9896979007675346,0.9446077908046181,0.09741337348326756,0.11862469553325171,False,False,False
38,0.09618947108022063,1.8255032774362285,0.0014783857712639022,0.9911762865387985,0.9326733031647847,0.08398610328539582,0.10203623167719476,False,False,False
39,0.08182433671347993,1.0121552113086376,0.0012576005854053375,0.9924338871242039,0.921860376004936,0.07130000029082047,0.08654441494817051,False,False,False
40,0.06488846683407751,0.8517606915806503,0.0009973044347715086,0.9934311915589754,0.9090620568257353,0.05861497446415537,0.07015491071861454,False,False,False
41,0.06275435690789848,0.7459941863478464,0.0009645041946439287,0.9943956957536193,0.8976309168171707,0.053224733788943664,0.06380825874052834,False,False,False
42,0.05117517812421228,0.7028075303677426,0.0007865378022261354,0.9951822335558455,0.8864190891437241,0.04590392130239462,0.05369006608781091,False,False,False
43,0.04660416447353267,0.6918990115579823,0.0007162835273504376,0.9958985170831959,0.8760243772300307,0.04114356535957782,0.04829201013657392,False,False,False
44,0.04330765172680524,0.5234430180694193,0.0006656177165831918,0.9965641347997791,0.8631357110218928,0.037422961177846825,0.044026003287925095,False,False,False
45,0.03668238388661813,0.3284411272337563,0.0005637905457322751,0.9971279253455114,0.8526182823219987,0.033017012210630636,0.03910401361637262,False,False,False
46,0.03573247704836813,0.3238663776564767,0.000549190935838133,0.9976771162813496,0.8411074046149829,0.03037298079338884,0.03641767494478417,False,False,False
47,0.03322236200100055,0.2517090968889529,0.0005106116783727417,0.9981877279597223,0.8313059789987368,0.02788353315684191,0.03258003059905945,False,False,False
48,0.02898459274140328,0.16733115200483656,0.0004454792090397603,0.9986332071687621,0.8186864136100507,0.024022494803816692,0.02944807057025149,False,False,False
49,0.024918558742696578,0.15089934973049643,0.00038298622782615094,0.9990161933965883,0.8090277145046877,0.02068217824813018,0.02540936318579869,False,False,False
50,0.019483201494486756,0.12179169167637062,0.00029944740879274563,0.999315640805381,0.7961945168203871,0.016042371282430596,0.020459092627968606,False,False,False
51,0.017208308313751735,0.09827521693213978,0.0002644833979527328,0.9995801242033338,0.7852190106452936,0.013944370363244113,0.01718604234606337,False,False,False
52,0.010343936089429736,0.09162978902640156,0.00015898130805524975,0.999739105511389,0.7734419771890967,0.00877973572773783,0.010747126001326428,False,False,False
53,0.006629256654642667,0.07080289748759587,0.00010188847700500087,0.999840993988394,0.7619749862808747,0.005358213305740511,0.007136534609350481,False,False,False
54,0.005049427841874818,0.05270911541422965,7.760727022010361e-05,0.9999186012586141,0.7488761389545571,0.0039738811685808145,0.005305052865358813,False,False,False
55,0.003753595591976802,0.009941538123451974,5.769095361413728e-05,0.9999762922122283,0.7373171202534711,0.0030250058629904372,0.003985379597892053,False,False,False
56,0.0015425199637259554,0.0009584233471917783,2.37077877719185e-05,1.0000000000000002,0.7252015385496844,0.0011922104896458163,0.0016738937622196729,False,False,False
57,3.4292527307107493e-31,4.861112605505544e-26,5.270596029083628e-33,1.0000000000000002,0.7149871190939093,1.4009821779511654e-31,3.5790356123639214e-30,False,False,False
58,1.8241921902566839e-31,3.951273154939309e-27,2.8036954022515337e-33,1.0000000000000002,0.6986557755135921,1.0538019372214877e-31,3.8774192221177936e-31,False,False,False
59,1.5772800807741467e-31,3.0799570652896206e-27,2.4242034003594486e-33,1.0000000000000002,0.6894309516315996,1.021307793965178e-31,1.981274583666662e-31,False,False,False
60,1.0500643202893e-31,1.2231203015007757e-27,1.6138982079784207e-33,1.0000000000000002,0.6754818180500363,9.959237288362613e-32,1.536921425447875e-31,False,False,False
61,1.0500643202893e-31,1.2231203015007757e-27,1.6138982079784207e-33,1.0000000000000002,0.6646862047677733,9.84482477815438e-32,1.300374425502548e-31,False,False,False
62,1.0500643202893e-31,1.2231203015007757e-27,1.6138982079784207e-33,1.0000000000000002,0.646377530789389,9.834345415035703e-32,1.1460480079716685e-31,False,False,False
63,1.0500643202893e-31,1.2231203015007757e-27,1.6138982079784207e-33,1.0000000000000002,0.6348943401987754,9.810353921638218e-32,1.1292463818461504e-31,False,False,False
64,1.0500643202893e-31,1.2231203015007757e-27,1.6138982079784207e-33,1.0000000000000002,0.6180678776952395,5.7908341475281e-32,1.1248496365279337e-31,False,False,False
65,5.734279808882784e-32,9.53192417573759e-28,8.813311459866644e-34,1.0000000000000002,0.5944157666437518,3.5121172355472315e-32,1.0947276055589202e-31,False,False,False
