model,feature_space,observations,rmse,mae,r2,skill_vs_mean_baseline
random_forest,hybrid,42,1.0463458682918014,0.729132055114346,0.24068878635631208,0.24068878635631208
random_forest,pca,42,1.0463458682918014,0.729132055114346,0.24068878635631208,0.24068878635631208
xgboost,raw,42,1.0463661893979537,0.7173882426637488,0.2406592928703124,0.2406592928703123
random_forest,raw,42,1.0833280734011654,0.7221079349332816,0.18606582945486128,0.18606582945486116
xgboost,hybrid,42,1.1188755795709822,0.815544895586925,0.13177382161500806,0.13177382161500795
xgboost,pca,42,1.1188755795709822,0.815544895586925,0.13177382161500806,0.13177382161500795
ridge,hybrid,42,1.1189824691296262,0.7959364693396319,0.1316079251603114,0.13160792516031128
ridge,pca,42,1.1189824691296262,0.7959364693396319,0.1316079251603114,0.13160792516031128
ridge,raw,42,1.1289818829908171,0.7786533874468544,0.11601838698947797,0.11601838698947797
ols,hybrid,42,1.1368534291654762,0.8080413226573242,0.10364872950015858,0.10364872950015858
ols,pca,42,1.1368534291654762,0.8080413226573242,0.10364872950015858,0.10364872950015858
ols,raw,42,1.186513792633162,0.7786714466542066,0.023629007537941726,0.023629007537941726
dummy_mean,hybrid,42,1.2333170553814325,0.8802521948381182,-0.054918141176358626,-0.05491814117635885
dummy_mean,pca,42,1.2333170553814325,0.8802521948381182,-0.054918141176358626,-0.05491814117635885
dummy_mean,raw,42,1.2333170553814325,0.8802521948381182,-0.054918141176358626,-0.05491814117635885
