row,quality_band
0,very_low_precision
1,moderate_precision
2,moderate_precision
3,low_precision
4,very_low_precision
5,moderate_precision
6,moderate_precision
7,low_precision
8,moderate_precision
9,moderate_precision
10,moderate_precision
11,moderate_precision
12,moderate_precision
13,very_low_precision
14,low_precision
15,low_precision
16,moderate_precision
17,higher_precision
18,low_precision
19,low_precision
20,moderate_precision
21,low_precision
22,low_precision
23,moderate_precision
24,moderate_precision
25,low_precision
26,higher_precision
27,higher_precision
28,moderate_precision
29,moderate_precision
30,low_precision
31,higher_precision
32,low_precision
33,very_low_precision
34,higher_precision
35,higher_precision
36,moderate_precision
37,low_precision
38,moderate_precision
39,very_low_precision
40,low_precision
41,very_low_precision
42,moderate_precision
43,higher_precision
44,moderate_precision
45,low_precision
46,moderate_precision
47,higher_precision
48,low_precision
49,moderate_precision
50,moderate_precision
51,moderate_precision
52,higher_precision
53,low_precision
54,moderate_precision
55,very_low_precision
56,moderate_precision
57,moderate_precision
58,higher_precision
59,moderate_precision
60,moderate_precision
61,higher_precision
62,moderate_precision
63,moderate_precision
64,very_low_precision
65,moderate_precision
66,low_precision
67,moderate_precision
68,moderate_precision
69,low_precision
70,higher_precision
71,very_low_precision
72,moderate_precision
73,very_low_precision
74,very_low_precision
75,low_precision
76,higher_precision
77,higher_precision
78,higher_precision
79,low_precision
80,higher_precision
81,moderate_precision
82,low_precision
83,very_low_precision
84,low_precision
85,very_low_precision
86,moderate_precision
87,higher_precision
88,moderate_precision
89,low_precision
90,moderate_precision
91,very_low_precision
92,very_low_precision
93,very_low_precision
94,very_low_precision
95,low_precision
96,low_precision
97,higher_precision
98,moderate_precision
99,low_precision
100,moderate_precision
101,low_precision
102,low_precision
103,very_low_precision
104,very_low_precision
105,moderate_precision
106,moderate_precision
107,moderate_precision
108,moderate_precision
109,very_low_precision
110,low_precision
111,low_precision
112,very_low_precision
113,low_precision
114,moderate_precision
115,moderate_precision
116,very_low_precision
117,higher_precision
118,very_low_precision
119,low_precision
120,very_low_precision
121,very_low_precision
122,moderate_precision
123,higher_precision
124,moderate_precision
125,very_low_precision
126,higher_precision
127,very_low_precision
128,low_precision
129,very_low_precision
130,very_low_precision
131,low_precision
132,moderate_precision
133,higher_precision
134,very_low_precision
135,very_low_precision
136,very_low_precision
137,very_low_precision
138,very_low_precision
139,very_low_precision
140,moderate_precision
141,higher_precision
142,low_precision
143,very_low_precision
144,moderate_precision
145,low_precision
146,very_low_precision
147,very_low_precision
148,very_low_precision
149,very_low_precision
150,low_precision
151,moderate_precision
152,very_low_precision
153,very_low_precision
154,low_precision
155,very_low_precision
156,very_low_precision
157,very_low_precision
158,very_low_precision
159,moderate_precision
160,very_low_precision
161,very_low_precision
162,very_low_precision
163,very_low_precision
164,low_precision
165,low_precision
166,moderate_precision
167,very_low_precision
168,very_low_precision
169,very_low_precision
170,moderate_precision
171,very_low_precision
172,very_low_precision
173,very_low_precision
174,very_low_precision
175,very_low_precision
176,moderate_precision
177,low_precision
178,moderate_precision
179,moderate_precision
180,moderate_precision
181,very_low_precision
182,low_precision
183,very_low_precision
184,higher_precision
185,higher_precision
186,low_precision
187,low_precision
188,low_precision
189,low_precision
190,very_low_precision
191,moderate_precision
192,very_low_precision
193,moderate_precision
194,moderate_precision
195,low_precision
196,moderate_precision
197,moderate_precision
198,moderate_precision
199,very_low_precision
200,low_precision
201,very_low_precision
202,moderate_precision
203,moderate_precision
204,moderate_precision
205,moderate_precision
206,low_precision
207,low_precision
208,moderate_precision
209,moderate_precision
210,moderate_precision
211,higher_precision
212,higher_precision
213,moderate_precision
214,moderate_precision
215,moderate_precision
216,low_precision
217,moderate_precision
218,low_precision
219,moderate_precision
220,moderate_precision
221,moderate_precision
222,low_precision
223,higher_precision
224,low_precision
225,low_precision
226,moderate_precision
227,very_low_precision
228,moderate_precision
229,moderate_precision
230,higher_precision
231,moderate_precision
232,low_precision
233,moderate_precision
234,very_low_precision
235,very_low_precision
236,very_low_precision
237,very_low_precision
238,low_precision
239,low_precision
240,higher_precision
241,moderate_precision
242,low_precision
243,moderate_precision
244,very_low_precision
245,low_precision
246,very_low_precision
247,very_low_precision
248,low_precision
249,higher_precision
250,higher_precision
251,moderate_precision
252,low_precision
253,moderate_precision
254,very_low_precision
255,low_precision
256,very_low_precision
257,very_low_precision
258,low_precision
259,moderate_precision
260,moderate_precision
261,moderate_precision
262,low_precision
263,moderate_precision
264,very_low_precision
265,very_low_precision
266,very_low_precision
267,very_low_precision
268,very_low_precision
269,moderate_precision
270,higher_precision
271,low_precision
272,low_precision
273,moderate_precision
274,very_low_precision
275,very_low_precision
276,very_low_precision
277,very_low_precision
278,low_precision
279,higher_precision
280,low_precision
281,low_precision
282,moderate_precision
283,very_low_precision
284,very_low_precision
285,low_precision
286,low_precision
287,very_low_precision
288,moderate_precision
289,low_precision
290,low_precision
291,low_precision
292,moderate_precision
293,low_precision
294,higher_precision
295,moderate_precision
296,moderate_precision
297,moderate_precision
298,moderate_precision
299,low_precision
300,low_precision
301,moderate_precision
302,low_precision
303,moderate_precision
304,moderate_precision
305,very_low_precision
306,moderate_precision
307,moderate_precision
308,low_precision
309,low_precision
310,moderate_precision
311,low_precision
312,higher_precision
313,higher_precision
314,higher_precision
315,moderate_precision
316,moderate_precision
317,moderate_precision
318,very_low_precision
319,very_low_precision
320,low_precision
321,low_precision
322,moderate_precision
323,higher_precision
324,moderate_precision
325,low_precision
326,moderate_precision
327,low_precision
328,very_low_precision
329,very_low_precision
330,very_low_precision
331,very_low_precision
332,moderate_precision
333,higher_precision
334,moderate_precision
335,moderate_precision
336,moderate_precision
337,low_precision
338,very_low_precision
339,very_low_precision
340,very_low_precision
341,low_precision
342,low_precision
343,moderate_precision
344,moderate_precision
345,very_low_precision
346,moderate_precision
347,very_low_precision
348,very_low_precision
349,moderate_precision
350,moderate_precision
351,low_precision
352,moderate_precision
353,moderate_precision
354,moderate_precision
355,very_low_precision
356,moderate_precision
357,very_low_precision
358,very_low_precision
359,low_precision
360,low_precision
361,very_low_precision
362,very_low_precision
363,moderate_precision
364,moderate_precision
365,very_low_precision
366,moderate_precision
367,low_precision
368,moderate_precision
369,moderate_precision
370,moderate_precision
371,very_low_precision
372,moderate_precision
