Dataset,Model,RMSE,R²
Rainfall Only,Linear Regression (raw),0.31028796505496764,0.6809963251960262
Rainfall Only,Ridge Regression (raw),0.308810855564603,0.6840262963138011
Rainfall Only,Random Forest (raw),0.32118841190619896,0.6581893739659694
Rainfall Only,Linear Regression (2 PCs),0.41542285052323563,0.4281967934806673
Rainfall Only,Ridge Regression (2 PCs),0.41542354486434097,0.4281948820460809
Rainfall Only,Random Forest (2 PCs),0.4389734056389936,0.3615274300076038
Rainfall Only,Linear Regression (3 PCs),0.41230362897300615,0.4367513774788262
Rainfall Only,Ridge Regression (3 PCs),0.41226899459850536,0.4368460016490351
Rainfall Only,Random Forest (3 PCs),0.4303981464134748,0.3862286558204726
Rainfall Only,Linear Regression (4 PCs),0.40222944215070455,0.4639398335252668
Rainfall Only,Ridge Regression (4 PCs),0.40220724646199146,0.4639989932736982
Rainfall Only,Random Forest (4 PCs),0.4058120754642575,0.4543479949961947
Rainfall Only,Linear Regression (5 PCs),0.3072390074779765,0.6872347240325425
Rainfall Only,Ridge Regression (5 PCs),0.30729508813591994,0.6871205348649174
Rainfall Only,Random Forest (5 PCs),0.33935206143922775,0.6184365147614784
Rainfall Only,Linear Regression (6 PCs),0.3119084221127433,0.6776556762858627
Rainfall Only,Ridge Regression (6 PCs),0.31179051003389346,0.6778993446346608
Rainfall Only,Random Forest (6 PCs),0.33907870303736354,0.6190509891468012
Rainfall Only,Linear Regression (8 PCs),0.31028796505496753,0.6809963251960265
Rainfall Only,Ridge Regression (8 PCs),0.3088108555646029,0.6840262963138013
Rainfall Only,Random Forest (8 PCs),0.33230795717066897,0.6341127256251423
Rainfall + Temperature,Linear Regression (raw),0.33518740163586513,0.6277444363780491
Rainfall + Temperature,Ridge Regression (raw),0.32335297095080645,0.6535667766046456
Rainfall + Temperature,Random Forest (raw),0.3053555759348447,0.6910575877466372
Rainfall + Temperature,Linear Regression (2 PCs),0.4291281900283999,0.38984536691040295
Rainfall + Temperature,Ridge Regression (2 PCs),0.4291144601942131,0.38988440973313176
Rainfall + Temperature,Random Forest (2 PCs),0.45392640693373265,0.3172892831202556
Rainfall + Temperature,Linear Regression (3 PCs),0.4171227679617483,0.4235075617804722
Rainfall + Temperature,Ridge Regression (3 PCs),0.4171207179626803,0.4235132282467874
Rainfall + Temperature,Random Forest (3 PCs),0.41405934161819885,0.4319442005263272
Rainfall + Temperature,Linear Regression (4 PCs),0.40066812046510236,0.46809337312035426
Rainfall + Temperature,Ridge Regression (4 PCs),0.4006577819215497,0.46812082261583043
Rainfall + Temperature,Random Forest (4 PCs),0.4056542726516027,0.4547722735476877
Rainfall + Temperature,Linear Regression (5 PCs),0.39077448030333695,0.49403763727695027
Rainfall + Temperature,Ridge Regression (5 PCs),0.39075061914645226,0.49409942472383805
Rainfall + Temperature,Random Forest (5 PCs),0.35549483568220175,0.5812716018658818
Rainfall + Temperature,Linear Regression (6 PCs),0.39429597448628667,0.4848775115959134
Rainfall + Temperature,Ridge Regression (6 PCs),0.3942428433390972,0.48501632713825404
Rainfall + Temperature,Random Forest (6 PCs),0.3547438893352184,0.5830387749194021
Rainfall + Temperature,Linear Regression (8 PCs),0.3182956503652806,0.6643186359324795
Rainfall + Temperature,Ridge Regression (8 PCs),0.31808964213334495,0.664753016644144
Rainfall + Temperature,Random Forest (8 PCs),0.33172599584660917,0.6353931390911394
Rainfall + Temperature,Linear Regression (10 PCs),0.3179158632141233,0.6651192212400716
Rainfall + Temperature,Ridge Regression (10 PCs),0.3175303905235655,0.6659308141837321
Rainfall + Temperature,Random Forest (10 PCs),0.3387481326634202,0.6197934071787773
