district,lat,lon,phh2o,soc,clay,sand,silt,bdod,cec,source_status
Mbale,1.075,34.175,,,,,,,,request_failed
Kapchorwa,1.4,34.45,,,,,,,,request_failed
Iganga,0.617,33.483,,,,,,,,request_failed
Jinja,0.425,33.204,,,,,,,,request_failed
Tororo,0.693,34.181,,,,,,,,request_failed
Soroti,1.715,33.611,,,,,,,,request_failed
Lira,2.25,32.917,,,,,,,,request_failed
Gulu,2.774,32.299,,,,,,,,request_failed
Mbarara,-0.607,30.658,,,,,,,,request_failed
Arua,3.02,30.911,,,,,,,,request_failed
Masaka,-0.333,31.733,,,,,,,,request_failed
Fort_Portal,0.671,30.275,,,,,,,,request_failed
Hoima,1.433,31.35,,,,,,,,request_failed
Kabale,-1.25,29.983,,,,,,,,request_failed
Kasese,0.183,30.083,,,,,,,,request_failed
