X,Y,profile_id,layer_id,profile_code,layer_name,upper_depth,lower_depth,organic_surface,value,method_options,value_avg,dataset_id,country_name,positional_uncertainty,region,continent,date,licence
1.321389,13.552222,586008,127824,NE W3_0444,Ah,0,16,0,{1.30},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.3,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.321389,13.552222,586008,127825,NE W3_0444,Btk1,16,42,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.321389,13.552222,586008,127826,NE W3_0444,Btk2,42,60,0,{1.60},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.6,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.338889,13.574444,586011,127837,NE W3_0068,Ah,0,16,0,{1.50},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.5,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.338889,13.574444,586011,127838,NE W3_0068,2Bw,16,36,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.338889,13.574444,586011,127839,NE W3_0068,2Bt,36,55,0,{1.50},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.5,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.349167,13.598056,586016,127858,NE W3_0202,,0,13,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.349167,13.598056,586016,127859,NE W3_0202,Btk,13,45,0,{1.50},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.5,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.35,13.604167,586017,127860,NE W3_0066,A,0,30,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.35,13.604167,586017,127861,NE W3_0066,Btg1,30,52,0,{1.50},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.5,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.35,13.604167,586017,127862,NE W3_0066,Btg2,52,73,0,{1.50},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.5,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.35,13.604167,586017,127863,NE W3_0066,Bt,73,88,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.350556,13.589444,586018,127864,NE W3_0067,Ah,0,15,0,{1.10},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.1,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.350556,13.589444,586018,127865,NE W3_0067,2Bwg,15,40,0,{1.20},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.2,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.350556,13.589444,586018,127866,NE W3_0067,2Btg,40,86,0,{1.30},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.3,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.350833,13.619722,586020,127873,NE W3_0308,AC,0,12,0,{1.30},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.3,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.036389,14.167222,585950,127608,NE W3_0284,Ahg,0,20,0,{1.20},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.2,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.036389,14.167222,585950,127609,NE W3_0284,Btg,20,68,0,{1.30},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.3,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.036389,14.167222,585950,127610,NE W3_0284,Bg,68,90,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.0375,14.166944,585951,127611,NE W3_0339,,0,27,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.0375,14.166944,585951,127612,NE W3_0339,2Ah,27,45,0,{1.30},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.3,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
